train_fr_1,train_fr_2,train_fr_3,train_fr_4,train_fr_5
patrimoine,chambre,xe,xie,vous
mondial,des,siècle,siècle,pouvez
de,communes,xie,xiie,partager
unesco,basse,xiie,xiiie,vos
nord,présidence,ier,sommaire,connaissances
ouest,président,millénaire,personnages,en
royaume,élection,iie,significatifs,am
uni,leader,iiie,art,présentation
cité,de,chronologies,et,luthérien
westminster,la,géographiques,culture,cathédrale
londres,chef,modifier,architecture,www
culturel,opposition,cette,notes,lundsdomkyrka
ii,composition,page,références,se
iv,actuelle,concerne,évènements,pays
ha,données,année,modifier,ville
identification,clés,du,le,coordonnées
zone,groupes,calendrier,code,modifier
géographique,politiques,sommaire,échec,histoire
année,gouvernement,europe,des,construction
inscription,conservateurs,décès,croisades,la
classification,officielle,en,de,réforme
le,travaillistes,liens,secours,et
palais,autres,externes,bataille,le
en,partis,événements,harran,traité
anglais,snp,le,guerre,de
palace,dup,code,entre,roskilde
immense,plaid,route,la,architecture
complexe,cymru,des,pologne,général
plus,uup,armées,empire,portail
mille,verts,de,rom,occidental
sommaire,dernière,la,barkyaruq,abside
aspect,palais,première,boleslas,narthex
extérieur,westminster,croisade,iii,transept
maçonnerie,londres,1er,bouche,ornements
jardins,photographie,juillet,torse,les
et,du,bataille,guillaume,orgues
espaces,lieu,dorylée,poitiers,stalles
aménagés,réunion,avril,plus,chaire
la,divers,pâques,ancien,vitraux
chambre,site,comte,trou,articles
des,web,étienne,henri,connexes
communes,modifier,ii,du,article
autres,anglais,blois,saint,connexe
salles,house,toulouse,louis,lund
dans,of,raymond,vi,été
culture,co,sai,france,dès
populaire,le,vizir,philippe,sa
notes,est,caire,ier,fondation
références,responsable,al,robert,une
romans,devant,afdal,ii,chrétien
articles,cham,shâhânshâh,normandie,centre
connexes,sommaire,mai,youssef,religieux
droite,législation,début,ibn,du
se,histoire,siège,tachfin,danemark
situe,notes,nicée,religion,devint
sur,et,par,philosophie,ainsi
une,références,les,abélard,cœur
carte,liens,crois,enseigne,danemar
réalisée,externes,armée,paris,durant
est,rôle,secours,après,reste
resté,fonctionnement,conduite,avoir,moyen
résidence,peut,kılıç,étudié,âge
londonienne,refuser,juin,fondation,nombreux
étant,confiance,avant,kiev,élém
donné,au,garde,monastère,devenue
son,gouver,croisés,michel,siège
passé,si,atteint,en,un
royale,un,antio,espagne,diocès
octobre,premier,août,musulmane,université
majeure,ministre,ridwan,almoravide,fut
partie,démissionne,alep,ali,fondée
du,en,reconnait,yus,nt
palai,cours,calife,construction,avant
fonctionnement,surveille,fa,école,grande
normal,travail,septembre,talmudique,restauration
westmins,les,tancrède,rouen,devant
sir,projets,hauteville,poursuite,besoin
charles,loi,octobre,querelle,évident
barry,bill,atteignent,investitures,véritable
réalisé,peuvent,marash,les,resta
nouveau,être,et,poètes,on
pierre,déposés,décembre,juifs,voit
utilisée,code,bohémond,jeuda,bien
au,lorsqu,tarente,ha,contre
