train_id_1,train_id_2,train_id_3,train_id_4,train_id_5
gorila,spesies,geografi,antropologi,ri
timur,atau,adalah,bidang,beralih
jantan,jenis,ilmu,budaya,ke
betina,adalah,yang,sosial,halaman
dengan,suatu,mempelajari,metode,ini
anaknya,takson,tentang,dan,untuk
kritis,yang,lebih,kerangka,kegunaan
iucn,di,dari,kerja,la
klasifikasi,jika,sekadar,etnografi,lambang
ilmiah,disebut,kartografi,kualitatif,moto
gorilla,dalam,studi,konsep,bhinneka
beringei,nama,daftar,utama,tunggal
subspecies,ilmiah,isi,prasejarah,ika
persebaran,disin,konsep,evolusi,ideologi
merupakan,pada,prinsip,perkawinan,nasional
spes,taksonomi,dasar,keluarga,pancasila
terdapat,hewan,sejarah,ras,indonesia
dua,terdapat,cabang,etnis,raya
subspesies,satu,fisik,kolonialisme,dan
terkenal,tingkat,manusia,sub,kota
dari,tak,lingkungan,sosiologi,terbesar
referensi,sejarah,ekologi,ekonomi,lu
sunting,dan,budaya,forensic,bt
sumber,pengembangan,dan,anthropology,ls
plumptre,konsep,politik,kedokteran,republik
robbins,referensi,metode,visual,presidensial
williamson,john,kuantitatif,sejarah,presiden
world,ray,wilayah,antropolog,jusuf
largest,karya,ahli,zoologi,kalla
living,sains,referensi,cabang,majelis
primate,paling,tag,araknologi,permusyawaratan
close,awal,ini,artropodologi,rakyat
to,se,diberikan,cetologi,tinggi
ext,abad,tanggal,helminthologi,dewan
taylor,ke,oktober,herpetologi,perwakilan
andrea,ilmuwan,eratosthenes,iktiologi,maret
beth,swedia,abad,nematologi,hindia
goldsmith,carl,ke,neuroetologi,belanda
michele,linnaeus,claudius,ornitologi,kemerdekaan
lynn,lihat,ptolomaeus,zoosemiotik,diumumkan
,pula,ullman,karl,desember
,sunting,strabo,ernst,ris
,sumber,ekblaw,von,dibubarkan
,terancam,mulkerne,baer,reformasi
,cincin,paul,georges,luas
,sistematika,vidal,cuvier,total
,sahney,de,charles,sensus
,and,la,carolus,km2
,benton,blance,linnaeus,perkiraan
,recover,prof,konrad,sedang
,goldenberg,bintarto,lorenz,menengah
,suzanne,hasil,thomas,rupiah
,planet,seminar,say,rp
,ea,lokakarya,bertujuan,idr
,historia,di,untuk,beragam
,plantarum,semarang,lebih,utc
,generalis,von,memahami,sampai
,volume,rithoffen,lahir,kiri
,reveal,haris,atau,id
,james,bernhardus,berawal,lihat
,pringle,varenius,dari,sunting
,vavilov,dalam,ketertarik,disingkat
,the,karyanya,daftar,atau
,linnean,berju,isi,indonesi
,species,relative,percabangan,sejarah
,as,lokasi,biologi,banyak
,pranala,relatif,fisik,dipengaruhi
,luar,tergantung,fase,oleh
,informasi,pengar,pertama,bang
,mengenai,pendekatan,sebelum,juga
,pembuatan,sunting,tahun,anggota
,kode,sumber,an,dari
,batang,spasial,ketiga,pbb
,eropa,keruangan,awal,satu
,bahasa,analisis,abad,satun
,cesk,merupakan,ke,daftar
,entri,didasarkan,lihat,isi
,filosofi,pada,pula,awal
,dari,salah,adalah,merdeka
,ensiklopedi,sa,ilmu,hubungan
,wikispecies,regional,yang,luar
,direktori,kompleks,keingi,negeri
,bebas,membandingkan,mempelajari,militer
,dap,berbag,umat,geografi
,klasifikasi,ada,studi,sumber
,seksi,utama,tentang,daya
