text,label,del_stop,encoding,padding_25,padding_15,padding_10
동남아 담당 최희철 부상 베이징 도착 싱가포르행 주목최 부상 행선지 방문 목적 질문에는 묵묵부답 ,0,"['동남아', '담당', '최희', '부상', '베이징', '도착', '싱가포르', '주목', '부상', '행선', '방문', '목적', '질문', '묵묵']","[4714, 1602, 4715, 232, 627, 1603, 1055, 276, 232, 2113, 733, 1604, 404, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4714, 1602, 4715, 232, 627, 1603, 1055, 276, 232, 2113, 733, 1604, 404, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[733, 1604, 404, 1056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
예결위 추경 막바지 심사 진통 여야 충돌 서울 연합뉴스 김남권 기자 국회 예산결산특별위원회는 일 추가경정예산안의 막바지 심사에 돌입했으나 여야 간 이견에 진통을 겪고 있다 ,0,"['결위', '추경', '막바지', '심사', '진통', '여야', '충돌', '서울', '김남', '국회', '예산', '결산', '특별', '위원회', '추가경정예산', '막바지', '심사', '돌입', '여야', '진통']","[4716, 628, 2965, 1057, 1605, 118, 356, 2, 4717, 55, 1606, 2966, 876, 405, 2967, 2965, 1057, 734, 118, 1605, 0, 0, 0, 0, 0]","[4716, 628, 2965, 1057, 1605, 118, 356, 2, 4717, 55, 1606, 2966, 876, 405, 2967, 2965, 1057, 734, 118, 1605, 0, 0, 0, 0, 0]","[1606, 2966, 876, 405, 2967, 2965, 1057, 734, 118, 1605, 0, 0, 0, 0, 0]","[2965, 1057, 734, 118, 1605, 0, 0, 0, 0, 0]"
외압 논란 항명 사태 산 넘고 물 건넌 권성동 영장 청구안미현 검사 외압 폭로 파문으로 별도 수사단 구성 여일 만에 영장,0,"['외압', '논란', '사태', '넘고', '건넌', '영장', '청구', '검사', '외압', '폭로', '파문', '사단', '구성', '영장']","[1269, 8, 406, 4718, 4719, 1270, 629, 877, 1269, 1058, 878, 528, 1607, 1270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1269, 8, 406, 4718, 4719, 1270, 629, 877, 1269, 1058, 878, 528, 1607, 1270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[878, 528, 1607, 1270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
친문 홍영표 문빠에 찍혔다 특검 합의에 문자폭탄 공격대표적인 친 문재인계인 홍영표 더불어민주당 신임 원내대표가 최근 문 대통령 극렬 지지자 이른바 문빠 들의 공격 대상이 됐다 이들의 문자 폭탄 에 시달리고 있다 지난 일 여야 갈등으로 얼어붙었던 국회가 일 만에 정상화된 이후부터다 ,0,"['친문', '홍영표', '문빠', '찍혔다', '특검', '합의', '문자', '폭탄', '공격대', '표적', '문재인', '홍영표', '더불어', '민주당', '신임', '원내대표', '최근', '대통령', '극렬', '지지자', '문빠', '들의', '공격', '대상', '문자', '폭탄', '시달리고', '여야', '갈등', '얼어붙었던', '국회', '정상화']","[2114, 1271, 2968, 4720, 42, 100, 1059, 735, 4721, 4722, 309, 1271, 357, 112, 736, 358, 69, 15, 4723, 4724, 2968, 4725, 310, 246, 1059, 735, 4726, 118, 175, 4727, 55, 164]","[735, 4721, 4722, 309, 1271, 357, 112, 736, 358, 69, 15, 4723, 4724, 2968, 4725, 310, 246, 1059, 735, 4726, 118, 175, 4727, 55, 164]","[15, 4723, 4724, 2968, 4725, 310, 246, 1059, 735, 4726, 118, 175, 4727, 55, 164]","[310, 246, 1059, 735, 4726, 118, 175, 4727, 55, 164]"
 연일 비난 정상회담 전 경고성 메시지 발신 맥스선더 태영호 등 불만 표시,0,"['연일', '비난', '정상회담', '경고', '메시지', '발신', '불만', '표시']","[2969, 277, 73, 407, 1060, 4728, 630, 879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2969, 277, 73, 407, 1060, 4728, 630, 879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 최종타켓 조율 안된 의제 반발,0,"['최종', '타켓', '조율', '안된', '의제', '반발']","[408, 4729, 1608, 4730, 4731, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[408, 4729, 1608, 4730, 4731, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 관계 개선 시진핑 의중 반영 ,0,"['관계', '개선', '시진핑', '의중', '반영']","[212, 176, 409, 4732, 2970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[212, 176, 409, 4732, 2970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 일방적 취소에도 북한 잘한다 우호 여론 들끓어 김정은 민족 자존심 버리지 않은 영웅 평가도 ,0,"['취소', '북한', '우호', '여론', '들끓어', '김정은', '민족', '자존심', '영웅', '평가']","[737, 27, 2971, 1272, 4733, 81, 4734, 2115, 2972, 880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[737, 27, 2971, 1272, 4733, 81, 4734, 2115, 2972, 880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
선거 코 앞인데 쩍 소리나는 바른미래당안철수 손학규 전략공천 강행군 에 파열음 일파만파,0,"['선거', '바른', '미래', '안철수', '전략', '공천', '강행', '파열음', '일파']","[82, 410, 233, 738, 278, 529, 2116, 4735, 4736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[82, 410, 233, 738, 278, 529, 2116, 4735, 4736, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
유승민 외연확장 버리나 우려에도 계속되는 우클릭 여권에 지나치게 날 세워 협상 여지도 없애,0,"['유승민', '확장', '우려', '계속', '클릭', '여권', '지나치게', '협상', '여지']","[739, 1609, 63, 198, 2117, 2973, 4737, 139, 4738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[739, 1609, 63, 198, 2117, 2973, 4737, 139, 4738, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
잇딴 강성발언에 개혁보수 이미지 멀어져,0,"['강성', '발언', '개혁', '이미지']","[4739, 311, 881, 2974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4739, 311, 881, 2974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
