사용일자,노선명,역명,승차총승객수,하차총승객수,승하차객수
20240701,9호선2~3단계,석촌고분,7665,7414,15079
20240701,중앙선,도농,12178,10957,23135
20240701,중앙선,구리,14053,14085,28138
20240701,4호선,길음,22687,22215,44902
20240701,분당선,복정,1,0,1
20240701,중앙선,오빈,341,346,687
20240701,중앙선,양평,3373,3272,6645
20240701,중앙선,원덕,395,343,738
20240701,중앙선,용문,2079,2014,4093
20240701,중앙선,지평,83,92,175
20240701,중앙선,양원,3609,3434,7043
20240701,중앙선,망우,8145,7826,15971
20240701,중앙선,상봉,6388,6324,12712
20240701,중앙선,중랑,5804,5629,11433
20240701,중앙선,회기,26435,25277,51712
20240701,장항선,신창(순천향대),1298,1444,2742
20240701,장항선,온양온천,4436,4400,8836
20240701,장항선,배방,1283,1245,2528
20240701,장항선,탕정,1799,1636,3435
20240701,중앙선,양정,684,534,1218
20240701,중앙선,덕소,5723,5704,11427
20240701,중앙선,도심,2673,2107,4780
20240701,중앙선,팔당,858,874,1732
20240701,중앙선,운길산,711,719,1430
20240701,중앙선,양수,2098,2121,4219
20240701,중앙선,신원,180,168,348
20240701,중앙선,국수,779,775,1554
20240701,중앙선,아신,559,550,1109
20240701,장항선,아산,3724,3451,7175
20240701,장항선,쌍용(나사렛대),2408,2391,4799
20240701,장항선,봉명,1647,1631,3278
20240701,일산선,대화,15161,11585,26746
20240701,일산선,주엽,10577,10751,21328
20240701,일산선,정발산,7465,7571,15036
20240701,일산선,마두,8834,9065,17899
20240701,일산선,백석,10586,10627,21213
20240701,일산선,대곡,3314,2429,5743
20240701,일산선,화정,18060,18600,36660
20240701,일산선,원당,11883,11284,23167
20240701,일산선,삼송,20233,19728,39961
20240701,일산선,지축,1,0,1
20240701,일산선,원흥,12308,11761,24069
20240701,우이신설선,신설동,2711,2431,5142
20240701,우이신설선,보문,1755,1695,3450
20240701,우이신설선,성신여대입구(돈암),3949,4255,8204
20240701,우이신설선,정릉,5087,5062,10149
20240701,우이신설선,북한산보국문,6534,6689,13223
20240701,우이신설선,솔샘,6167,6581,12748
20240701,우이신설선,삼양사거리,2961,3014,5975
20240701,우이신설선,삼양,2351,2604,4955
20240701,우이신설선,화계,4007,3943,7950
20240701,우이신설선,가오리,4740,4981,9721
20240701,우이신설선,4.19민주묘지,3412,3357,6769
20240701,우이신설선,솔밭공원,2959,2970,5929
20240701,우이신설선,북한산우이,3383,3105,6488
20240701,안산선,수리산,4419,3720,8139
20240701,안산선,오이도,8111,8173,16284
20240701,안산선,정왕,9549,9757,19306
20240701,안산선,신길온천,2188,1883,4071
20240701,안산선,안산,13053,11933,24986
20240701,안산선,초지,5322,5213,10535
20240701,안산선,고잔,9541,8991,18532
20240701,안산선,중앙,19119,19660,38779
20240701,안산선,한대앞,9699,9797,19496
20240701,안산선,상록수,15543,15840,31383
20240701,안산선,반월,4737,4718,9455
20240701,안산선,대야미,5301,4887,10188
20240701,안산선,산본,17151,18133,35284
20240701,신림선,관악산(서울대),3405,3312,6717
20240701,신림선,서울대벤처타운,10276,9722,19998
20240701,신림선,서원,3838,3328,7166
20240701,신림선,신림,2105,2784,4889
20240701,신림선,당곡,5297,5221,10518
20240701,신림선,보라매병원,8309,8829,17138
20240701,신림선,보라매공원,2406,2667,5073
20240701,신림선,보라매,4649,4301,8950
20240701,신림선,서울지방병무청,3414,3851,7265
20240701,신림선,대방,3149,2584,5733
20240701,신림선,샛강,3585,3850,7435
20240701,수인선,인천,1120,1751,2871
20240701,수인선,신포,2004,2041,4045
20240701,수인선,숭의,4614,4327,8941
20240701,수인선,인하대,6810,6541,13351
20240701,수인선,송도,2686,2439,5125
20240701,수인선,연수,4988,4908,9896
20240701,수인선,원인재,4614,4752,9366
20240701,수인선,남동인더스파크,2523,2842,5365
20240701,수인선,인천논현,5903,6170,12073
20240701,수인선,소래포구,5034,4616,9650
20240701,수인선,월곶,2928,2642,5570
20240701,수인선,달월,122,68,190
20240701,수인선,사리,5400,4645,10045
20240701,수인선,야목,436,379,815
20240701,수인선,어천,1495,1448,2943
20240701,수인선,오목천,4288,3918,8206
20240701,수인선,고색,5984,5427,11411
20240701,서해선,부천종합운동장,2692,2287,4979
20240701,서해선,원종,4946,5084,10030
20240701,서해선,김포공항,2966,3772,6738
20240701,분당선,매교,5904,5819,11723
20240701,분당선,수원시청,14602,15421,30023
20240701,분당선,매탄권선,5868,5789,11657
20240701,분당선,망포,16591,15992,32583
20240701,분당선,영통,9284,9619,18903
20240701,분당선,청명,4902,4733,9635
20240701,분당선,상갈,5715,5502,11217
20240701,분당선,기흥,10910,10020,20930
20240701,분당선,신갈,5166,4973,10139
20240701,분당선,구성,6987,7128,14115
20240701,분당선,죽전,12570,14007,26577
20240701,분당선,보정,2918,2663,5581
20240701,분당선,이매,6117,5741,11858
20240701,분당선,오리,12565,10958,23523
20240701,분당선,미금,16867,17332,34199
20240701,분당선,정자,19767,20595,40362
20240701,분당선,수내,15207,15363,30570
20240701,분당선,서현,26175,26769,52944
20240701,분당선,야탑,26938,28223,55161
20240701,분당선,모란,20556,21025,41581
20240701,분당선,태평,14003,13285,27288
20240701,분당선,가천대,8035,8497,16532
20240701,분당선,선정릉,8596,8883,17479
20240701,분당선,강남구청,10503,12110,22613
20240701,분당선,압구정로데오,18383,19745,38128
20240701,분당선,서울숲,13330,13412,26742
20240701,분당선,수원,8242,7555,15797
20240701,분당선,수서,17709,18390,36099
20240701,분당선,대모산입구,6609,6152,12761
20240701,분당선,개포동,4945,5068,10013
20240701,분당선,구룡,3955,3965,7920
20240701,분당선,도곡,8753,8748,17501
20240701,분당선,한티,16409,17619,34028
20240701,분당선,선릉,15294,23287,38581
20240701,과천선,범계,28498,28256,56754
20240701,과천선,평촌,19609,19265,38874
20240701,과천선,인덕원,27005,27764,54769
20240701,과천선,정부과천청사,13532,14232,27764
20240701,과천선,과천,6883,6310,13193
20240701,과천선,대공원,2307,2358,4665
20240701,과천선,경마공원,840,840,1680
20240701,과천선,선바위,7977,7060,15037
20240701,공항철도 1호선,영종,4359,4377,8736
20240701,공항철도 1호선,인천공항2터미널,7296,6561,13857
20240701,공항철도 1호선,인천공항1터미널,15350,15558,30908
20240701,공항철도 1호선,공항화물청사,2225,2442,4667
20240701,공항철도 1호선,운서,9609,10011,19620
20240701,공항철도 1호선,청라국제도시,8058,7546,15604
20240701,공항철도 1호선,검암,6862,7058,13920
20240701,공항철도 1호선,계양,14258,13583,27841
20240701,공항철도 1호선,김포공항,9885,5859,15744
20240701,공항철도 1호선,마곡나루(서울식물원),12879,12361,25240
20240701,공항철도 1호선,디지털미디어시티,15369,14649,30018
20240701,공항철도 1호선,홍대입구,14403,13852,28255
20240701,공항철도 1호선,공덕,3387,4186,7573
20240701,공항철도 1호선,서울역,13149,11741,24890
20240701,경춘선,춘천,1375,1192,2567
20240701,경춘선,남춘천,2341,2542,4883
20240701,경춘선,김유정,388,369,757
20240701,경춘선,강촌,370,379,749
20240701,경춘선,백양리,79,102,181
20240701,경춘선,굴봉산,153,124,277
20240701,경춘선,가평,2228,2397,4625
20240701,경춘선,상천,272,327,599
20240701,경춘선,청평,1902,1979,3881
20240701,경춘선,대성리,778,1188,1966
20240701,경춘선,마석,4037,3815,7852
20240701,경춘선,천마산,1622,1533,3155
20240701,경춘선,평내호평,6579,6317,12896
20240701,경춘선,금곡,1615,1571,3186
20240701,경춘선,사릉,2175,2109,4284
20240701,경춘선,퇴계원,3937,3610,7547
20240701,경춘선,별내,3761,3523,7284
20240701,경춘선,갈매,3254,2805,6059
20240701,경춘선,신내,3119,2772,5891
20240701,경인선,도화,4575,4224,8799
20240701,경인선,중동,9988,9373,19361
20240701,경인선,온수(성공회대입구),6759,6395,13154
20240701,경인선,도원,3759,3793,7552
20240701,경인선,간석,6207,5927,12134
20240701,경인선,부개,9506,8956,18462
20240701,경인선,소사,7913,7656,15569
20240701,경인선,구일,6675,6713,13388
20240701,경인선,인천,3848,3034,6882
20240701,경인선,동인천,14605,13671,28276
20240701,경인선,제물포,11375,11171,22546
20240701,경인선,주안,19332,17328,36660
20240701,경인선,동암,16363,16298,32661
20240701,경인선,백운,8188,7939,16127
20240701,경인선,부평,29589,30837,60426
20240701,경인선,송내,28501,27996,56497
20240701,경인선,부천,32509,32278,64787
20240701,경인선,역곡,27054,27218,54272
20240701,경인선,오류동,12436,11725,24161
20240701,경인선,개봉,23010,22593,45603
20240701,경의선,김포공항,1,0,1
20240701,경의선,운천,8,4,12
20240701,경의선,임진강,6,12,18
20240701,경의선,문산,6109,5435,11544
20240701,경의선,파주,1380,982,2362
20240701,경의선,월롱,2124,2012,4136
20240701,경의선,금촌,7547,7109,14656
20240701,경의선,금릉,5987,5747,11734
20240701,경의선,운정,8487,8052,16539
20240701,경의선,야당,9569,9631,19200
20240701,경의선,탄현,8404,8216,16620
20240701,경의선,일산,11896,11600,23496
20240701,경의선,풍산,6635,6239,12874
20240701,경의선,백마,8146,7880,16026
20240701,경의선,곡산,727,797,1524
20240701,경의선,능곡,5246,4813,10059
20240701,경의선,행신,8722,8791,17513
20240701,경의선,강매,3650,3061,6711
20240701,경의선,한국항공대,2291,2109,4400
20240701,경의선,수색,3922,3905,7827
20240701,경의선,디지털미디어시티,3047,2842,5889
20240701,경의선,가좌,6600,6209,12809
20240701,경의선,홍대입구,1999,2413,4412
20240701,경의선,서강대,2412,2301,4713
20240701,경의선,공덕,4470,3959,8429
20240701,경의선,효창공원앞,3569,4043,7612
20240701,경의선,신촌,1198,1496,2694
20240701,경의선,서울역,5258,6734,11992
20240701,경원선,연천,1320,1077,2397
20240701,경원선,전곡,1180,963,2143
20240701,경원선,청산,172,137,309
20240701,경원선,소요산,1970,1838,3808
20240701,경원선,동두천,1938,1837,3775
20240701,경원선,보산,1658,1455,3113
20240701,경원선,동두천중앙,3363,3253,6616
20240701,경원선,지행,6997,7035,14032
20240701,경원선,덕정,6559,6180,12739
20240701,경원선,덕계,6397,5828,12225
20240701,경원선,양주,7608,7250,14858
20240701,경원선,녹양,4652,4405,9057
20240701,경원선,가능,7028,6818,13846
20240701,경원선,의정부,18778,19055,37833
20240701,경원선,회룡,14157,13829,27986
20240701,경원선,망월사,7823,7991,15814
20240701,경원선,도봉산,7856,5021,12877
20240701,경원선,도봉,6374,6063,12437
20240701,경원선,방학,10697,10320,21017
20240701,경원선,창동,4,0,4
20240701,경원선,녹천,4940,4157,9097
20240701,경원선,월계,7108,6698,13806
20240701,경원선,광운대,8465,8105,16570
20240701,경원선,석계,7649,8920,16569
20240701,경원선,신이문,9217,8534,17751
20240701,경원선,외대앞,9593,9448,19041
20240701,경원선,청량리(서울시립대입구),16063,17275,33338
20240701,경원선,왕십리(성동구청),17071,17112,34183
20240701,경원선,응봉,2042,1777,3819
20240701,경원선,옥수,49,33,82
20240701,경원선,한남,4215,4058,8273
20240701,경원선,서빙고,2212,2031,4243
20240701,경원선,이촌(국립중앙박물관),4258,3437,7695
20240701,경부선,광명,4046,3426,7472
20240701,경부선,서동탄,1659,1388,3047
20240701,경부선,당정,6477,6147,12624
20240701,경부선,천안,5878,6272,12150
20240701,경부선,두정,6709,6845,13554
20240701,경부선,직산,1087,1003,2090
20240701,경부선,성환,4178,4287,8465
20240701,경부선,평택,12845,12458,25303
20240701,경부선,평택지제,4484,4324,8808
20240701,경부선,서정리,8480,8088,16568
20240701,경부선,송탄,4724,4589,9313
20240701,경부선,진위,1933,1769,3702
20240701,경부선,오산,10222,10436,20658
20240701,경부선,오산대,3812,3592,7404
20240701,경부선,세마,3507,3391,6898
20240701,경부선,병점,15160,15062,30222
20240701,경부선,세류,3535,3320,6855
20240701,경부선,독산,19279,19985,39264
20240701,경부선,수원,35926,37565,73491
20240701,경부선,화서,12236,11676,23912
20240701,경부선,성균관대,15881,15719,31600
20240701,경부선,의왕,9530,9576,19106
20240701,경부선,군포,7945,7882,15827
20240701,경부선,금정,29544,29701,59245
20240701,경부선,명학,9217,9137,18354
20240701,경부선,안양,22155,21918,44073
20240701,경부선,관악,7828,7448,15276
20240701,경부선,석수,9048,8379,17427
20240701,경부선,금천구청,11919,12189,24108
20240701,경부선,가산디지털단지,19614,22504,42118
20240701,경부선,구로,18771,18744,37515
20240701,경부선,신길,9567,8054,17621
20240701,경부선,신도림,4224,4341,8565
20240701,경부선,영등포,39225,40004,79229
20240701,경부선,대방,11416,12281,23697
20240701,경부선,노량진,8115,7926,16041
20240701,경부선,용산,38520,39800,78320
20240701,경부선,남영,10593,11015,21608
20240701,경부선,서울역,8814,3301,12115
20240701,경강선,성남,988,871,1859
20240701,경강선,여주,2748,2636,5384
20240701,경강선,세종대왕릉,365,330,695
20240701,경강선,부발,2358,2369,4727
20240701,경강선,이천,3012,3063,6075
20240701,경강선,신둔도예촌,1476,1425,2901
20240701,경강선,곤지암,2316,2327,4643
20240701,경강선,초월,3639,3528,7167
20240701,경강선,경기광주,8434,8027,16461
20240701,경강선,삼동,2730,2582,5312
20240701,경강선,이매,1164,1088,2252
20240701,경강선,판교,6056,6027,12083
20240701,9호선2~3단계,중앙보훈병원,13472,12008,25480
20240701,9호선2~3단계,둔촌오륜,1454,1385,2839
20240701,9호선2~3단계,올림픽공원(한국체대),5874,6284,12158
20240701,9호선2~3단계,한성백제,3345,2928,6273
20240701,9호선2~3단계,송파나루,5952,6177,12129
20240701,9호선2~3단계,석촌,10135,9118,19253
20240701,9호선2~3단계,삼전,8693,8009,16702
20240701,9호선2~3단계,종합운동장,5139,5118,10257
20240701,9호선2~3단계,봉은사,21727,22510,44237
20240701,9호선2~3단계,삼성중앙,8905,9268,18173
20240701,9호선2~3단계,선정릉,11020,11833,22853
20240701,9호선2~3단계,언주,12795,13386,26181
20240701,9호선,신논현,32235,31985,64220
20240701,9호선,사평,5018,4777,9795
20240701,9호선,고속터미널,14404,18345,32749
20240701,9호선,신반포,4689,4585,9274
20240701,9호선,구반포,1479,1546,3025
20240701,9호선,동작(현충원),2294,2814,5108
20240701,9호선,흑석(중앙대입구),7362,7026,14388
20240701,9호선,노들,5546,5050,10596
20240701,9호선,노량진,26242,26253,52495
20240701,9호선,샛강,7453,7471,14924
20240701,9호선,여의도,34585,33720,68305
20240701,9호선,국회의사당,18915,20084,38999
20240701,9호선,당산,20663,20677,41340
20240701,9호선,선유도,10086,9492,19578
20240701,9호선,신목동,5357,4756,10113
20240701,9호선,염창,19201,18666,37867
20240701,9호선,등촌,13724,13141,26865
20240701,9호선,증미,9330,9136,18466
20240701,9호선,가양,24308,23955,48263
20240701,9호선,양천향교,10910,10996,21906
20240701,9호선,마곡나루(서울식물원),14738,14633,29371
20240701,9호선,신방화,7842,7645,15487
20240701,9호선,공항시장,3242,3504,6746
20240701,9호선,김포공항,7039,10108,17147
20240701,9호선,개화,3155,2105,5260
20240701,8호선,남위례,8038,8054,16092
20240701,8호선,모란,5091,3904,8995
20240701,8호선,수진,6031,5544,11575
20240701,8호선,신흥,5601,5822,11423
20240701,8호선,단대오거리,12846,12556,25402
20240701,8호선,남한산성입구(성남법원.검찰청),13946,12564,26510
20240701,8호선,산성,7046,7206,14252
20240701,8호선,복정,9842,8448,18290
20240701,8호선,장지,18339,17011,35350
20240701,8호선,문정,25006,26393,51399
