count,date,title,description,org_link,link
1,2024-08-13 13:48:00,"부산창경·롯데벤처스, 일본 진출 스타트업 지원…참여기업 모집",현지기업과의 사업 제휴나 투자 유치를 원하는 7년 미만의 콘텐츠·푸드·뷰티·<b>인공지능</b> 분야 스타트업이면 지원 가능하다. 모집기간은 오는 9월 1일 자정까지다. 롯데벤처스 관계자는 “한일 양국 롯데가 지원하는... ,https://www.sedaily.com/NewsView/2DD01VDH35,https://n.news.naver.com/mnews/article/011/0004379699?sid=102
2,2024-08-13 13:48:00,LG유플러스 &quot;익시 AI 사진으로 광복절 기억하세요&quot;,[사진=LG유플러스] LG유플러스는 광복절을 맞아 서울 마포구에 위치한 LG유플러스 도화동 공덕역점에서 광복절 콘셉트의 <b>인공지능</b>(AI) 프로필 사진을 제작해주는 '익시 포토부스'를 선보였다고 13일 밝혔다. 익시... ,https://www.ajunews.com/view/20240813112631390,https://www.ajunews.com/view/20240813112631390
3,2024-08-13 13:48:00,"DHP, 디지털헬스케어 CRO 에버트라이와 전략적 업무협약 체결",의료 <b>인공지능</b>과 디지털 치료기기 등 소프트웨어 의료기기(SaMD)의 임상시험과 인허가와 관련한 경험과 전문성을 높게 평가받고 있다. 최윤섭 DHP 대표는 “디지털 헬스케어 스타트업이 시장에 진입하기 위해서는... ,https://www.hankyung.com/article/202408130283i,https://n.news.naver.com/mnews/article/015/0005021184?sid=105
4,2024-08-13 13:48:00,"트럼프·머스크 대담, '비트코인·암호화폐' 언급 없었다","13일 블록체인 매체 코인데스크에 따르면 엑스(트위터) 스페이스 서비스를 통해 2시간 넘게 진행된 인터뷰는 불법 이민, 경제, <b>인공지능</b>, 지구 온난화 등 다양한 주제를 다뤘다. 이 인터뷰는 100만명 이상의 청취자를... ",https://www.digitaltoday.co.kr/news/articleView.html?idxno=529272,https://www.digitaltoday.co.kr/news/articleView.html?idxno=529272
5,2024-08-13 13:46:00,"유진투자증권-모트에이아이, 증권업 AI 전환 위한 MOU",사진=유진투자증권 유진투자증권은 모트에이아이와 증권업 <b>인공지능</b>(AI) 전환을 위한 업무협약을 체결했다고 13일 밝혔다. 이번 협약은 기존 증권업 시스템과 프로세스에 최적화된 AI 모델 개발을 목표로 한다.... ,https://www.meconomynews.com/news/articleView.html?idxno=98706,https://www.meconomynews.com/news/articleView.html?idxno=98706
6,2024-08-13 13:46:00,"올인카본, 블록체인 덧입힌 저탄소 '블루 이코노미' 비전 제시","이 대표는 블록체인, <b>인공지능</b>(AI), 사물인터넷(IoT) 등 첨단 기술을 결합한 고품질 탄소 배출권을 개발해 온 기후테크 전문가다. 그는 에너지 효율성과 거래 속도가 뛰어난 해시그래프 기술을 활용한 저탄소 배출... ",https://www.sedaily.com/NewsView/2DD01TEGZF,https://n.news.naver.com/mnews/article/011/0004379697?sid=102
7,2024-08-13 13:46:00,"NH투자증권, 빅데이터 경진대회 'AI로 미국 ETF를 발견하다' 개최",생성형 AI 활용 미국 ETF 분석 주제 총상금 3만9000달러·인턴십 기회 등 제공 [시장경제=전지윤 기자] NH투자증권의 2024 빅데이터 경진대회 'AI(<b>인공지능</b>)로 미국 ETF(상장지수펀드)를 발견하다' 포스터. 사진=NH투자증권... ,https://www.meconomynews.com/news/articleView.html?idxno=98704,https://www.meconomynews.com/news/articleView.html?idxno=98704
8,2024-08-13 13:45:00,"충남대병원 정재욱 교수, 글로벌 의사과학자 양성 사업에 선정",정 교수는 이러한 폐암 오가노이드 연구의 근본적인 문제점을 해결하기 위해 ‘오가노이드의 3차원 이미지’와 ‘멀티 오믹스 빅데이터’를 <b>인공지능</b>으로 분석해 실시간으로 폐암 오가노이드의 특성·상태를 확인할 수... ,http://www.inews24.com/view/1752556,https://n.news.naver.com/mnews/article/031/0000861575?sid=102
9,2024-08-13 13:45:00,데이터센터 '코리아 패싱' 시작됐다…韓 발길 돌리는 빅테크,업계 관계자는 “A사는 아시아태평양 지역에 <b>인공지능</b>(AI) 데이터센터 거점을 만들기 위해 수 조원대 투자를 계획했지만 한국의 경우 데이터센터 설립 허가에만 수 년이 걸릴 수 있다는 내부 우려가 나왔다”면서 “결국 AI... ,https://www.etnews.com/20240813000203,https://n.news.naver.com/mnews/article/030/0003231326?sid=105
10,2024-08-13 13:45:00,"한국웹툰산업협회, 웹툰 플랫폼 대시툰과 한국 웹툰 해외 진출 협력","또한 작가가 창작한 스토리(이야기)를 생성형 <b>인공지능</b>(AI)을 이용해 웹툰으로 변환, 이용자에게 손쉽게 선보일 수 있는 서비스를 제공하고 있다. 이번 협약은 지난해 9월 한국웹툰산업협회와 구글플레이가 한국... ",http://www.inews24.com/view/1752551,https://n.news.naver.com/mnews/article/031/0000861577?sid=105
11,2024-08-13 13:44:00,"가우스랩스, AI 기반 가상 계측 설루션 '파놉테스 VM 2.0' 출시",/가우스랩스 SK하이닉스가 투자한 산업용 <b>인공지능</b>(AI) 기업 가우스랩스가 AI 기반 가상 계측 설루션 '파놉테스(Panoptes) VM' 2.0 버전을 출시했다고 13일 밝혔다. 파놉테스 VM은 장비에 설치된 센서에서 수집한 데이터를... ,http://www.metroseoul.co.kr/article/20240813500278,http://www.metroseoul.co.kr/article/20240813500278
12,2024-08-13 13:44:00,"김만배·신학림 보도한 뉴스타파가 아직도? 與, 양대 포털 뉴스제휴 손본다",네이버 뉴스혁신포럼 구성원은 최성준 전 방송통신위원장(위원장)·김용대 한국<b>인공지능</b>학회 회장·김위근 퍼블리시 최고연구책임자·김은미 서울대 언론정보학과 교수·김준기 서울대 행정대학원 교수·이문한 김앤장... ,https://www.pennmike.com/news/articleView.html?idxno=86014,https://www.pennmike.com/news/articleView.html?idxno=86014
13,2024-08-13 13:43:00,"화성시, 농촌리빙랩 시민참여단 모집","스마트도시 리빙랩이란 자신이 거주하는 지역 문제를 <b>인공지능</b>(AI)과 빅데이터, 사물인터넷 등 새로운 정보통신 기술로 해결방안을 찾아 시와 함께 해결해가는 시민참여 정책을 말한다. 시는 앞서 6월 궁평항을 대상으로... ",http://news.tf.co.kr/read/national/2124547.htm,https://n.news.naver.com/mnews/article/629/0000312822?sid=102
14,2024-08-13 13:42:00,"LG전자, 서바이벌 리얼리티쇼 제작...AI 가전 편리함 알린다",LG전자는 LG <b>인공지능</b>(AI) 가전의 차별화된 고객경험과 편리함을 알리는 서바이벌 리얼리티쇼 ‘하우스 오브 서바이벌’을 아마존 온라인동영상서비스(OTT)인 프라임 비디오에 론칭했다고 13일 밝혔다. 하우스 오브... ,https://www.hellot.net/news/article.html?no=92534,https://www.hellot.net/news/article.html?no=92534
15,2024-08-13 13:42:00,"[대구가톨릭대 소식] 대구가톨릭대 김소연 씨, 전국영양사학술대회서 우수논문...","RIS모비릴티디지털전환사업단은 전문인재 양성과 기술 고도화를 목표로 ▲기계, <b>인공지능</b>-소프트웨어, 전자, 디자인 분야의 융합 교육 ▲개방형 메타버스 기반 모빌리티 교육시스템 구축 ▲지역 기업 및 연구기관과... ",http://www.ilyoseoul.co.kr/news/articleView.html?idxno=491704,http://www.ilyoseoul.co.kr/news/articleView.html?idxno=491704
16,2024-08-13 13:42:00,"유진투자증권-모트에이아이, 증권업 AI 전환 업무협약",유진투자증권과 모트에이아이가 증권업 <b>인공지능</b>(AI) 전환을 위한 업무협약(MOU)을 체결했다고 13일 밝혔다. 이번 업무협약은 기존 증권업 시스템과 프로세스에 최적화된 AI 모델 개발을 목적으로 체결됐다.... ,https://www.newspim.com/news/view/20240813000548,https://www.newspim.com/news/view/20240813000548
