사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Jun.24,1호선,150,서울역,1375235 ,1312172 ,217760 ,208410 
Jun.24,1호선,151,시청,623388 ,630661 ,97573 ,95530 
Jun.24,1호선,152,종각,914353 ,912364 ,146932 ,137905 
Jun.24,1호선,153,종로3가,471522 ,426339 ,287153 ,264801 
Jun.24,1호선,154,종로5가,440595 ,432871 ,248630 ,242504 
Jun.24,1호선,155,동대문,231365 ,226540 ,129109 ,130444 
Jun.24,1호선,156,신설동,287903 ,276799 ,122597 ,118990 
Jun.24,1호선,157,제기동,230693 ,220271 ,262223 ,280041 
Jun.24,1호선,158,청량리(서울시립대입구),397655 ,379680 ,287057 ,290189 
Jun.24,1호선,159,동묘앞,156165 ,161457 ,163273 ,162912 
Jun.24,2호선,201,시청,648953 ,611509 ,59285 ,54336 
Jun.24,2호선,202,을지로입구,1274944 ,1312288 ,100866 ,94732 
Jun.24,2호선,203,을지로3가,614189 ,609556 ,74197 ,72976 
Jun.24,2호선,204,을지로4가,318509 ,320723 ,73177 ,72581 
Jun.24,2호선,205,동대문역사문화공원(DDP),383045 ,444676 ,59596 ,64891 
Jun.24,2호선,206,신당,334736 ,355312 ,91682 ,93652 
Jun.24,2호선,207,상왕십리,341236 ,329018 ,70762 ,71608 
Jun.24,2호선,208,왕십리(성동구청),404320 ,367863 ,53859 ,48793 
Jun.24,2호선,209,한양대,301414 ,331915 ,13316 ,14311 
Jun.24,2호선,210,뚝섬,646298 ,662850 ,67355 ,67248 
Jun.24,2호선,211,성수,1107129 ,1240300 ,99606 ,100219 
Jun.24,2호선,212,건대입구,994281 ,1046691 ,95916 ,99397 
Jun.24,2호선,213,구의(광진구청),597742 ,572472 ,108898 ,108391 
Jun.24,2호선,214,강변(동서울터미널),772418 ,737922 ,125080 ,121398 
Jun.24,2호선,215,잠실나루,328734 ,316326 ,88827 ,88584 
Jun.24,2호선,216,잠실(송파구청),2083604 ,2053741 ,228907 ,218545 
Jun.24,2호선,217,잠실새내,579320 ,569084 ,115982 ,114755 
Jun.24,2호선,218,종합운동장,467396 ,531351 ,58170 ,60845 
Jun.24,2호선,219,삼성(무역센터),1403975 ,1424615 ,122316 ,113198 
Jun.24,2호선,220,선릉,1278214 ,1125457 ,230471 ,202302 
Jun.24,2호선,221,역삼,1147994 ,1321629 ,140463 ,144383 
Jun.24,2호선,222,강남,2059283 ,2029235 ,156313 ,136845 
Jun.24,2호선,223,교대(법원.검찰청),691031 ,832770 ,150539 ,179639 
Jun.24,2호선,224,서초,522463 ,501367 ,95450 ,94840 
