,key,value
0,PAD,0
1,OOV,1
2,정신과,2
3,약,3
4,요,4
5,은,5
6,생각,6
7,우울,7
8,안,8
9,상담,9
10,도,10
11,감,11
12,병원,12
13,정,13
14,중,14
15,서,15
16,고,16
17,건가,17
18,인데,18
19,되는,19
20,복용,20
21,는,21
22,살이,22
23,먹어도,23
24,많이,24
25,처방,25
26,주사,26
27,그냥,27
28,건지,28
29,만,29
30,다,30
31,너무,31
32,있는,32
33,하는,33
34,정도,34
35,인,35
36,방정,36
37,건,37
38,거,38
39,진단,39
40,입니다,40
41,수,41
42,찐,42
43,때문,43
44,이나,44
45,있나요,45
46,맞아도,46
47,가면,47
48,의사,48
49,한,49
50,정신,50
51,받으면,51
52,심해서,52
53,선생님,53
54,적,54
55,과를,55
56,진정,56
57,상태,57
58,정말,58
59,가야,59
60,공부,60
61,날,61
62,번,62
63,죽,63
64,충,64
65,대한,65
66,가끔,66
67,치료,67
68,하다,68
69,죽고싶다는,69
70,동이,70
71,나아져서,71
72,다녀,72
73,이랑,73
74,하나요,74
75,되었습니다,75
76,뭐,76
77,머리,77
78,같은,78
79,처음,79
80,종종,80
81,되나요,81
82,우울증,82
83,사진,83
84,기분,84
85,감기,85
86,되요,86
87,못,87
88,가기,88
89,랑,89
90,기록,90
91,문제,91
92,할,92
93,불안,93
94,하면,94
95,하고,95
96,던데,96
97,하는데,97
98,팜,98
99,드립니다,99
100,환인,100
101,놀정,101
102,분들,102
103,답,103
104,해주세요,104
105,후,105
106,내공,106
107,약사,107
108,한꺼,108
109,부스,109
110,피톤,110
111,렁,111
112,가요,112
113,한번,113
114,취업,114
115,부작용,115
116,같은데,116
117,나중,117
118,될,118
119,소리,119
120,씩,120
121,오늘,121
122,달,122
123,남아,123
124,명인,124
125,신경,125
126,염산,126
127,프로,127
128,반정,128
129,넘게,129
130,찌는,130
131,맞나요,131
132,염정,132
133,클로,133
134,질문,134
135,로라,135
136,쪽,136
137,키로,137
138,가보려는데,138
139,큐,139
140,모르겠어서요,140
141,갈,141
142,쪗는데,142
143,켈,143
144,머정,144
145,팔레,145
146,스펜서,146
147,로프,147
148,마진,148
149,같은거에,149
150,없을까요,150
151,효과,151
152,되는건,152
153,된,153
154,원,154
155,그대로,155
156,는데,156
157,인거,157
158,피임,158
159,오후,159
160,꾸준히,160
161,맞고,161
162,사후,162
163,엘라,163
164,햇,164
165,맞으려고,165
166,맞고있어요,166
167,낫어서,167
168,나게하고,168
169,가도,169
170,받으러,170
171,했고,171
172,지도,172
173,말고,173
174,죽음,174
175,신검,175
176,갔다,176
177,왔는데,177
178,잘,178
179,먹으면서,179
180,받다가,180
181,되,181
182,보라,182
183,마다,183
184,떼,184
185,나영,185
186,전,186
187,게,187
188,받을,188
189,싶은,189
190,현재,190
191,받아도,191
192,사람,192
193,해,193
194,면,194
195,같아서,195
196,같아요,196
197,우울함,197
198,어떨,198
199,나아지나요,199
200,인지,200
201,주로,201
202,할까,202
203,그런,203
204,공허함과,204
205,하루,205
206,비,206
207,고민,207
208,인가요,208
209,학생,209
210,경,210
211,예전,211
212,없고,212
213,모르겠어요,213
214,까요,214
215,기도,215
216,참고,216
217,제대로,217
218,되면,218
219,가는게,219
220,자살,220
221,아예,221
222,보면,222
223,했는데,223
224,별로,224
225,증,225
226,종일,226
227,없습니다,227
228,순간,228
229,돼요,229
230,초,230
231,노력,231
232,부담,232
233,먹고,233
234,인터넷,234
235,이해,235
236,안되고,236
237,않은,237
238,판단,238
239,올,239
240,맞을까요,240
241,됩니다,241
242,자격증,242
243,일상,243
244,트리,244
245,행동,245
246,간단한,246
247,에선,247
248,유지,248
249,젠,249
250,수준,250
251,우울한,251
252,두고,252
253,큽니다,253
254,나왔습니다,254
255,최소,255
256,해야하는데,256
257,않을까,257
258,싶었는데,258
259,괜찮아질,259
260,있는데,260
261,드는,261
262,하기로,262
263,최대,263
264,적습니다,264
265,무언,265
266,수가,266
267,비해,267
268,사는게,268
269,버겁습니다,269
270,앓은지,270
271,괜찮으면서도,271
272,덜합니다,272
273,살아가다,273
274,문뜩문뜩,274
275,대는,275
276,여전합니다,276
277,길면,277
278,텀,278
279,앓는,279
280,눌린듯,280
281,갑작스레,281
282,들거나,282
283,심할,283
284,불가한,284
285,글자,285
286,읽고,286
287,사칙연산,287
288,오는게,288
289,가고도,289
290,빠지지,290
291,않으려,291
292,괜찮아지지,292
293,자가진단,293
294,우울하다,294
295,살다보면,295
296,맞겠죠,296
297,합니다,297
298,마음,298
299,최근,299
300,가지,300
301,남,301
302,앞,302
303,쯤,303
304,오래,304
305,근데,305
306,있어,306
307,죽고,307
308,평소,308
309,막상,309
310,사는,310
311,내일,311
312,우울해지고,312
313,사소한,313
314,좋을,314
315,한없이,315
316,가야겠다고,316
317,먹지만,317
318,들다가도,318
319,괜찮거나,319
320,미룬,320
321,웃으실까,321
322,프람,322
323,뉴,323
324,받았어요,324
325,유니,325
326,메디,326
327,습진,327
328,제정,328
329,키넷,329
330,에피,330
331,레티,331
332,벨라,332
333,임정,333
334,들일까,334
335,걸,335
336,이렇게,336
337,니까,337
338,극복,338
339,갔습니다,339
340,본,340
341,수치,341
342,분,342
343,성중독,343
344,검사,344
345,진료,345
346,다니는,346
347,알,347
348,약물,348
349,있습니다,349
350,에도,350
351,부모님,351
352,한테,352
353,살,353
354,받은건데,354
355,상한,355
356,보험,356
357,얘기,357
358,말,358
359,력,359
360,보고,360
361,같고,361
362,사실,362
363,엔,363
364,주,364
365,과다복용,365
366,하기,366
367,무기,367
368,간,368
369,가고,369
370,했습니다,370
371,보통,371
372,위,372
373,예약,373
374,나을까요,374
375,남용,375
376,좋아지나요,376
377,싶어서,377
378,에서는,378
379,걸까,379
380,에서도,380
381,힘들고,381
382,속,382
383,올해,383
384,돼서,384
385,싫고,385
386,없어서,386
387,라도,387
388,개인,388
389,일상생활,389
390,항상,390
391,어제,391
392,스스로,392
393,보,393
394,지장,394
395,설명,395
396,트,396
397,먹고있는데,397
398,월달,398
399,않아서,399
400,선택,400
401,다닌,401
402,수업,402
403,나올까,403
404,성분,404
405,째,405
406,사정,406
407,알바,407
408,없다고,408
409,보다는,409
410,첫,410
411,즈,411
412,하려,412
413,두루,413
414,하라,414
415,대답,415
416,모르겠네요,416
417,불면,417
418,당시,418
419,스럽고,419
420,모르는,420
421,쉽지,421
422,트라우마,422
423,됐는지,423
424,환,424
425,인벤,425
426,가본,426
427,이대로,427
428,거식증,428
429,학창시절,429
430,궁금하네요,430
431,가능할까,431
432,베가,432
433,생겨,433
434,그만뒀습니다,434
435,말씀드리는,435
436,그만두고,436
437,결론,437
438,뭉,438
439,다신,439
440,번만,440
441,그렇다,441
442,핀,442
443,겹치,443
444,찾아오면서,444
445,나마,445
446,가다간,446
447,가고싶습니다,447
448,실하게,448
449,스러워요,449
450,근황,450
451,있냐던데,451
452,쳐도,452
453,무기력증,453
454,자이렌정,454
455,조현병,455
456,정신건강,456
457,상,457
458,들었냐,458
459,검정고시,459
460,쳤냐,460
461,땄냐,461
462,묻더라고요,462
463,땄냐는,463
464,미처,464
465,물어보진,465
466,묻는,466
467,알아보기,467
468,받고,468
469,의학과,469
470,치료받는,470
471,주치의,471
472,성적,472
473,그로,473
474,호소,474
475,폐해,475
476,가지고있는데,476
477,성중독증,477
478,증상,478
479,가입,479
480,지금,480
481,해서,481
482,가서,482
483,계속,483
484,더,484
