일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2023.8.1,북강릉(104),X,31.8,31.4,27,22.8,78.6,O,경고,O,낮음
2023.8.1,동해(106),X,30.6,30,26.2,22.8,86.5,O,주의,O,낮음
2023.8.1,서울(108),O,34.6,34.2,29.9,25.5,71.6,O,경고,O,매우높음
2023.8.1,인천(112),O,33.8,32.8,29.3,26.5,75.4,O,경고,O,높음
2023.8.1,원주(114),O,33.4,33.7,28.1,23,73.6,O,경고,X,낮음
2023.8.1,울릉도(115),O,33,31,27.6,24.7,85.5,O,주의,O,매우높음
2023.8.1,수원(119),O,34.5,34.4,29.2,24.8,73.3,O,경고,X,매우높음
2023.8.1,영월(121),O,33.2,33.2,27.4,23.5,77.3,O,주의,X,낮음
2023.8.1,충주(127),O,34.4,33.6,27.2,22.9,82.8,O,경고,X,매우높음
2023.8.1,서산(129),O,34.8,34.8,29.1,24.6,77.4,O,경고,X,매우높음
2023.8.1,울진(130),X,30.6,29.6,25.9,22.2,82.3,O,경고,O,매우높음
2023.8.1,청주(131),O,35,35.7,30.4,25.3,66.8,O,경고,O,매우높음
2023.8.1,대전(133),O,34.6,34.6,29.5,24.8,70.4,O,경고,O,매우높음
2023.8.1,추풍령(135),X,32.9,32.3,26.7,22.6,80.5,O,경고,X,매우높음
2023.8.1,안동(136),O,34.5,33.9,28.7,23.9,78.3,O,경고,X,매우높음
2023.8.1,상주(137),O,35,34.2,28.8,24.1,80.9,O,경고,X,매우높음
2023.8.1,포항(138),O,33,32.7,28.5,24.2,71,O,경고,O,매우높음
2023.8.1,군산(140),O,35,35,29.3,24.9,77.5,O,경고,O,매우높음
2023.8.1,대구(143),O,33.9,34.8,29.7,24.9,64.8,O,경고,X,매우높음
2023.8.1,전주(146),O,35,34.9,29.6,24.9,74,O,경고,O,매우높음
2023.8.1,울산(152),X,32.8,32.9,28.2,23.6,68.5,O,경고,X,매우높음
