기업 이름,복지 카테고리,복지 혜택
,,
'(주)코드잇'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '교육/자기계발']","['체력단련비 지원', '웰컴키트 지급', '자사 제품 직원 할인', '자율 및 탄력 근무 제도', '재택 근무제도', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원']"
'(주)하얀마인드'의 복지,"['교통/출퇴근', '급여/보상', '교육/자기계발']","['재택 근무제도', '주차장 및 주차비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '도서구입비 지원', '어학 교육비 지원', '자격증 취득 지원']"
'(주)헥톤프로젝트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '주택 지원 대출', '경조사 지원금', '콘도 및 휴양시설 지원', '웰컴키트 지급', '자녀 학자금 지원', '선택적 복리후생', '자사 제품 직원 할인', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '연차 수당', '본인 출산 휴가', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '육아 휴직', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원']"
기업 추천 복지,"['세이지(주)의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['자기계발비 120만원 지원🏌️\u200d♀️', '동호회 비용 180만원 지원🧗\u200d♀️', '50만원 상당의 프리미엄 건강검진🏥', '공휴일이 없는 달에는 스트레치데이🌱', '업무 몰입을 위한 1인 1식대카드💳', '세이지니가 원하는 도서 구입📚', '장기근속자에게는 휴가와 호캉스🏩', '휴가비 40만원 지원🏖', '업무 관련 비용 모두 지원👨\u200d🏫', '출근 대신 패밀리데이 사용👪', '건강검진 지원 (본인/배우자)', '체력단련비 지원', '웰컴키트 지급', '자율 및 탄력 근무 제도', '우리 사주 및 스톡옵션', '결혼/장례 등 경조사 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '자기계발 휴가', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원']"
'(주)골라라'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '자사 제품 직원 할인', '주 4일 / 주 4.5일 근무', '연차 수당', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원']"
'(주)어스빌리지'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '명절 선물 및 귀향비 지원', '야간 교통비 지원', '재택 근무제도', '연차 수당', '우수사원 금전포상', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '생일 선물 지원', '병가 (유급/무급)', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '육아 휴직', '임산부 단축근무', '여름 휴가', '반차 및 시간제 연차 사용', '보건 휴가', '창립 기념일 휴무', '수면실 및 휴게실 운영']"
'페이스북코리아(유)'의 복지,"['의료/건강', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '재택 근무제도']"
'월급쟁이부자들(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['체력단련비 지원', '건강검진 지원 (본인/배우자)', '웰컴키트 지급', '자사 제품 직원 할인', '명절 선물 및 귀향비 지원', '선택적 복리후생', '경조사 지원금', '임신/출산 선물', '점심 식대 지원', '야근시 저녁 값', '회식비 지원', '자율 및 탄력 근무 제도', '야간 교통비 지원', '절반 근무 및 문화 데이', '통근버스 운행', '주차장 및 주차비 지원', '유류비 지원', '재택 근무제도', '대휴 가능', '인센티브 및 성과급', '우수사원 금전포상', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '생일 선물 지원', '야근 및 휴일 특근 수당', '청년 내일 채움 공제 지원', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '여름 휴가', '본인 출산 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '육아 휴직', '휴직 (유급/무급)', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '사내 동호회 지원', '애완 동물 친화', '스탠딩 책상 지원', '야유회', '도서구입비 지원', '기타 자기계발비 지원', '멘토링 제도 운영', '어학 교육비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '온라인 강의 지원', '자사 운영하는 교육사이트', '재테크 강의', '1:1 재무상담', '독서모임']"
기업 추천 복지,"['(주)핫셀러의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['스낵 24 무제한', '식대 무제한', '생인선물 20~50만원 제공', '승인 없는 휴가 사용', '대학병원 건강검진 제공', '아카데미 비용 전액 지원', '웰컴키트 지급', '여름휴가 별도 제공', '자유로운 연, 월차', '최고 강사초청', '건강검진 지원 (본인/배우자)', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '통신비 지원', '자사 제품 직원 할인', '경조사 지원금', '직원 대출 지원', '선택적 복리후생', '임신/출산 선물', '야간 교통비 지원', '주차장 및 주차비 지원', '유류비 지원', '인센티브 및 성과급', '우리 사주 및 스톡옵션', '생일 선물 지원', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '우수사원 금전포상', '청년 내일 채움 공제 지원', '여름 휴가', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '본인 출산 휴가', '배우자 출산 휴가', '휴직 (유급/무급)', '육아 휴직', '임산부 단축근무', '보건 휴가', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '구내 식당 및 카페테리아 운영', '수면실 및 휴게실 운영', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '어학 교육비 지원', '도서관 운영']"
'구글코리아(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '사내 병원', '통신비 지원', '경조사 지원금', '사택/기숙사 운영 및 지원', '주택 지원 대출', '선택적 복리후생', '자사 제품 직원 할인', '콘도 및 휴양시설 지원', '웰컴키트 지급', '재택 근무제도', '통근버스 운행', '자율 및 탄력 근무 제도', '주 4일 / 주 4.5일 근무', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '우리 사주 및 스톡옵션', '반차 및 시간제 연차 사용', '본인 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '안마실 및 안마 의자 운영', '구내 식당 및 카페테리아 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '어린이집 지원/운영', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '어학 교육비 지원', '자격증 취득 지원', '도서구입비 지원', '기타 자기계발비 지원', '멘토링 제도 운영']"
'라이엇게임즈코리아(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '불임부부 지원', '사내 병원', '무료 진료 지정 병원', '주택 지원 대출', '경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '자사 제품 직원 할인', '웰컴키트 지급', '사택/기숙사 운영 및 지원', '직원 대출 지원', '자녀 학자금 지원', '통신비 지원', '콘도 및 휴양시설 지원', '임신/출산 선물', '재택 근무제도', '야간 교통비 지원', '자율 및 탄력 근무 제도', '주차장 및 주차비 지원', '인센티브 및 성과급', '우수사원 금전포상', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '연차 수당', '청년 내일 채움 공제 지원', '결혼/장례 등 경조사 휴가', '여름 휴가', '본인 출산 휴가', '배우자 출산 휴가', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '구내 식당 및 카페테리아 운영', '컨퍼런스 개최 및 지원', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원']"
'(주)스캐터랩'의 복지,"['지원 제도', '교통/출퇴근', '근무환경', '교육/자기계발']","['경조사 지원금', '명절 선물 및 귀향비 지원', '선택적 복리후생', '웰컴키트 지급', '임신/출산 선물', '야간 교통비 지원', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'네이버웹툰'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '자율 및 탄력 근무 제도', '재택 근무제도', '통근버스 운행', '야간 교통비 지원', '유류비 지원', '인센티브 및 성과급', '연차 수당', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '생일 선물 지원', '리프레쉬/장기근속 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '자격증 취득 지원']"
,,
'(주)이공이공'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '명절 선물 및 귀향비 지원', '경조사 지원금', '선택적 복리후생', '웰컴키트 지급', '자율 및 탄력 근무 제도', '야간 교통비 지원', '재택 근무제도', '절반 근무 및 문화 데이', '생일 선물 지원', '청년 내일 채움 공제 지원', '복지비 월 20만원', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '여름 휴가', '수면실 및 휴게실 운영', '무료 간식 및 음료 제공', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
'(주)노타'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '웰컴키트 지급', '야간 교통비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '퇴직연금 및 퇴직금', '창립 기념일 휴무', '사내 동호회 지원']"
'(주)페이타랩'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '직원 대출 지원', '선택적 복리후생', '자사 제품 직원 할인', '웰컴키트 지급', '야간 교통비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '교통비 지원', '청년 내일 채움 공제 지원', '야근 및 휴일 특근 수당', '생일 선물 지원', '우리 사주 및 스톡옵션', '연차 수당', '생일 반차', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '본인 학자금 지원']"
'두나무(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '사내 병원', '체력단련비 지원', '불임부부 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '통신비 지원', '직원 대출 지원', '콘도 및 휴양시설 지원', '사택/기숙사 운영 및 지원', '주택 지원 대출', '선택적 복리후생', '웰컴키트 지급', '임신/출산 선물', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '통근버스 운행', '주차장 및 주차비 지원', '유류비 지원', '인센티브 및 성과급', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '연차 수당', '청년 내일 채움 공제 지원', '생일 선물 지원', '우수사원 금전포상', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '본인 출산 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '여름 휴가', '보건 휴가', '최고 성능 PC/노트북 지원', '사내 동호회 지원', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '어린이집 지원/운영', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '자격증 취득 지원', '어학 교육비 지원', '대학원, 유학 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원']"
'(주)넥슨게임즈'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['상해/실손 보험 지원', '건강검진 지원 (본인/배우자)', '콘도 및 휴양시설 지원', '명절 선물 및 귀향비 지원', '주택 지원 대출', '경조사 지원금', '통신비 지원', '야간 교통비 지원', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '통근버스 운행', '생일 선물 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '우수사원 금전포상', '퇴직연금 및 퇴직금', '연차 수당', '본인 출산 휴가', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '연차 사용가능', '최고 성능 PC/노트북 지원', '사내 동호회 지원', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원']"
'(주)벡터코리아아이티'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '경조사 지원금', '통신비 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '임신/출산 선물', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '절반 근무 및 문화 데이', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '병가 (유급/무급)', '창립 기념일 휴무', '사내 동호회 지원', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '기타 자기계발비 지원']"
'(주)센드버드코리아'의 복지,"['(주)센드버드코리아의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '연차/휴가']","['본사 및 지사 교환 근무 프로그램', '건강검진 지원 (본인/배우자)', '체력단련비 지원', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '자율 및 탄력 근무 제도', '재택 근무제도', '리프레쉬/장기근속 휴가', '휴직 (유급/무급)', '반차 및 시간제 연차 사용']"
