기업 이름,이동 링크,총 만족도,평균 임금
(주)팀엘리시움,/companies/329950/info/%ED%8C%80%EC%97%98%EB%A6%AC%EC%8B%9C%EC%9B%80?,4.8,"3,630"
(주)코드잇,/companies/343681/info/%EC%BD%94%EB%93%9C%EC%9E%87?,4.8,"4,901"
(주)하얀마인드,/companies/353033/info/%ED%95%98%EC%96%80%EB%A7%88%EC%9D%B8%EB%93%9C?,4.8,"5,133"
(주)헥톤프로젝트,/companies/338878/info/%ED%97%A5%ED%86%A4%ED%94%84%EB%A1%9C%EC%A0%9D%ED%8A%B8?,4.6,"5,102"
세이지(주),/companies/351150/info/%EC%84%B8%EC%9D%B4%EC%A7%80?,4.6,0
(주)골라라,/companies/385866/info/%EA%B3%A8%EB%9D%BC%EB%9D%BC?,4.6,"3,400"
(주)어스빌리지,/companies/387922/info/%EC%96%B4%EC%8A%A4%EB%B9%8C%EB%A6%AC%EC%A7%80?,4.5,"3,621"
페이스북코리아(유),/companies/90364/info/%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%B6%81%EC%BD%94%EB%A6%AC%EC%95%84?,4.5,"9,852"
월급쟁이부자들(주),/companies/394321/info/%EC%9B%94%EA%B8%89%EC%9F%81%EC%9D%B4%EB%B6%80%EC%9E%90%EB%93%A4?,4.4,"5,247"
(주)핫셀러,/companies/360493/info/%ED%95%AB%EC%85%80%EB%9F%AC?,4.4,"4,866"
구글코리아(유),/companies/44566/info/%EA%B5%AC%EA%B8%80%EC%BD%94%EB%A6%AC%EC%95%84?,4.3,"7,773"
라이엇게임즈코리아(유),/companies/89723/info/%EB%9D%BC%EC%9D%B4%EC%97%87%EA%B2%8C%EC%9E%84%EC%A6%88%EC%BD%94%EB%A6%AC%EC%95%84?,4.3,"6,694"
(주)스캐터랩,/companies/92214/info/%EC%8A%A4%EC%BA%90%ED%84%B0%EB%9E%A9?,4.3,"5,680"
네이버웹툰,/companies/328190/info/%EB%84%A4%EC%9D%B4%EB%B2%84%EC%9B%B9%ED%88%B0?,4.3,"5,764"
(주)아이도트,/companies/92646/info/%EC%95%84%EC%9D%B4%EB%8F%84%ED%8A%B8?,4.3,"4,563"
(주)이공이공,/companies/377538/info/%EC%9D%B4%EA%B3%B5%EC%9D%B4%EA%B3%B5?,4.3,0
(주)노타,/companies/333400/info/%EB%85%B8%ED%83%80?,4.3,"6,609"
(주)페이타랩,/companies/363938/info/%ED%8E%98%EC%9D%B4%ED%83%80%EB%9E%A9?,4.3,"3,696"
두나무(주),/companies/308146/info/%EB%91%90%EB%82%98%EB%AC%B4?,4.2,"6,899"
