"행정구역별(시군구)","성별","연령별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","계","합계","일반가구원","","2351053","2332499","2321163","2301255","2279121",
"대구광역시","계","합계","1세대가구-계","","347261","359339","372107","384202","393383",
"대구광역시","계","합계","1세대가구-부부","","314052","325776","338162","349492","358520",
"대구광역시","계","합계","1세대가구-부부+미혼형제자매","","2342","2341","2343","2496","2692",
"대구광역시","계","합계","1세대가구-부부+기타 친인척","","528","610","514","518","511",
"대구광역시","계","합계","1세대가구-가구주+미혼형제자매","","18764","18707","19640","19867","19622",
"대구광역시","계","합계","1세대가구-가구주+기타 친인척","","1471","1554","1647","1761","1660",
"대구광역시","계","합계","1세대가구-기타","","10104","10351","9801","10068","10378",
"대구광역시","계","합계","2세대가구-계","","1521827","1486637","1464844","1420502","1383153",
"대구광역시","계","합계","2세대가구-부부+미혼자녀","","1114135","1087815","1078449","1046230","1015196",
"대구광역시","계","합계","2세대가구-부+미혼자녀","","60118","58279","56806","55724","54937",
"대구광역시","계","합계","2세대가구-모+미혼자녀","","194232","191504","193760","188085","185014",
"대구광역시","계","합계","2세대가구-부부+양친","","3080","3264","2692","2412","2436",
"대구광역시","계","합계","2세대가구-부부+한부모","","14613","14583","13539","13200","13086",
"대구광역시","계","합계","2세대가구-부부+미혼자녀+부부미혼형제자매","","14522","13546","11852","11431","10964",
"대구광역시","계","합계","2세대가구-조부모+미혼손자녀","","6226","6348","6600","6485","6316",
"대구광역시","계","합계","2세대가구-조부 또는 조모+미혼손자녀","","7353","7201","7406","7602","7530",
"대구광역시","계","합계","2세대가구-기타","","107548","104097","93740","89333","87674",
"대구광역시","계","합계","3세대가구-계","","191361","178146","154634","140813","129932",
"대구광역시","계","합계","3세대가구-부부+미혼자녀+양친","","25783","23380","18860","16412","14535",
"대구광역시","계","합계","3세대가구-부부+미혼자녀+부친","","14690","14104","12643","11670","11004",
"대구광역시","계","합계","3세대가구-부부+미혼자녀+모친","","77301","71157","62053","55732","51024",
"대구광역시","계","합계","3세대가구-기타","","73587","69505","61078","56999","53369",
"대구광역시","계","합계","4세대이상 가구","","1606","1385","1116","807","823",
"대구광역시","계","합계","1인가구","","269903","284416","304543","326866","341667",
"대구광역시","계","합계","비친족가구","","19095","22576","23919","28065","30163",
"대구광역시","계","15세미만","일반가구원","","299899","289897","280685","270922","260731",
"대구광역시","계","15세미만","1세대가구-계","","238","241","219","215","211",
"대구광역시","계","15세미만","1세대가구-부부","","X","X","X","X","X",
"대구광역시","계","15세미만","1세대가구-부부+미혼형제자매","","X","X","X","X","X",
"대구광역시","계","15세미만","1세대가구-부부+기타 친인척","","20","24","15","12","15",
"대구광역시","계","15세미만","1세대가구-가구주+미혼형제자매","","116","118","118","102","93",
"대구광역시","계","15세미만","1세대가구-가구주+기타 친인척","","67","58","60","67","66",
"대구광역시","계","15세미만","1세대가구-기타","","34","40","26","34","37",
"대구광역시","계","15세미만","2세대가구-계","","266500","258953","254414","247212","238993",
"대구광역시","계","15세미만","2세대가구-부부+미혼자녀","","224355","218522","215800","209668","202556",
