"지역별(시/군/구)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","전체","전규모","사업체수[개]","개","95078","98972","83985","87153","89701",
"대구광역시","전체","전규모","총종사자수_계[명]","명","752445","769941","672976","704055","726011",
"대구광역시","전체","전규모","총종사자수_남자[명]","명","413580","421855","369508","383814","391859",
"대구광역시","전체","전규모","총종사자수_여자[명]","명","338865","348086","303468","320241","334152",
"대구광역시","전체","1~4인","사업체수[개]","개","59331","62874","53542","55543","57408",
"대구광역시","전체","1~4인","총종사자수_계[명]","명","163313","171634","133812","143706","147943",
"대구광역시","전체","1~4인","총종사자수_남자[명]","명","85182","89776","73666","78935","81455",
"대구광역시","전체","1~4인","총종사자수_여자[명]","명","78131","81858","60146","64771","66488",
"대구광역시","전체","5~9인","사업체수[개]","개","22026","22419","17929","18415","18668",
"대구광역시","전체","5~9인","총종사자수_계[명]","명","141113","146728","114083","116507","118250",
"대구광역시","전체","5~9인","총종사자수_남자[명]","명","74491","78902","59471","61247","60865",
"대구광역시","전체","5~9인","총종사자수_여자[명]","명","66622","67826","54612","55260","57385",
"대구광역시","전체","10~29인","사업체수[개]","개","10364","10294","9419","9919","10269",
"대구광역시","전체","10~29인","총종사자수_계[명]","명","160922","162086","145896","153403","159625",
"대구광역시","전체","10~29인","총종사자수_남자[명]","명","88032","89142","78968","83245","84905",
"대구광역시","전체","10~29인","총종사자수_여자[명]","명","72890","72944","66928","70158","74720",
"대구광역시","전체","30~49인","사업체수[개]","개","1635","1658","1443","1580","1647",
"대구광역시","전체","30~49인","총종사자수_계[명]","명","61135","62020","54132","59057","61544",
"대구광역시","전체","30~49인","총종사자수_남자[명]","명","33851","33560","28547","30991","32327",
"대구광역시","전체","30~49인","총종사자수_여자[명]","명","27284","28460","25585","28066","29217",
"대구광역시","전체","50~99인","사업체수[개]","개","1077","1088","1042","1061","1068",
"대구광역시","전체","50~99인","총종사자수_계[명]","명","72983","74389","71405","71654","72728",
"대구광역시","전체","50~99인","총종사자수_남자[명]","명","41976","41568","38802","38555","37897",
"대구광역시","전체","50~99인","총종사자수_여자[명]","명","31007","32821","32603","33099","34831",
"대구광역시","전체","100~199인","사업체수[개]","개","431","415","386","402","400",
"대구광역시","전체","100~199인","총종사자수_계[명]","명","58147","56853","52645","54542","54577",
"대구광역시","전체","100~199인","총종사자수_남자[명]","명","33044","32687","30272","30872","30297",
"대구광역시","전체","100~199인","총종사자수_여자[명]","명","25103","24166","22373","23670","24280",
"대구광역시","전체","200~299인","사업체수[개]","개","103","111","114","120","122",
"대구광역시","전체","200~299인","총종사자수_계[명]","명","24654","26425","27361","28747","30262",
"대구광역시","전체","200~299인","총종사자수_남자[명]","명","14175","15521","16163","16588","17568",
"대구광역시","전체","200~299인","총종사자수_여자[명]","명","10479","10904","11198","12159","12694",
"대구광역시","전체","300~499인","사업체수[개]","개","63","64","61","59","70",
"대구광역시","전체","300~499인","총종사자수_계[명]","명","23138","23879","23057","21875","26353",
"대구광역시","전체","300~499인","총종사자수_남자[명]","명","14437","13857","14197","13309","16063",
"대구광역시","전체","300~499인","총종사자수_여자[명]","명","8701","10022","8860","8566","10290",
"대구광역시","전체","500~999인","사업체수[개]","개","33","36","35","39","33",
"대구광역시","전체","500~999인","총종사자수_계[명]","명","21797","24019","23352","25743","23829",
"대구광역시","전체","500~999인","총종사자수_남자[명]","명","15320","15985","16224","17185","16229",
"대구광역시","전체","500~999인","총종사자수_여자[명]","명","6477","8034","7128","8558","7600",
"대구광역시","전체","1000인이상","사업체수[개]","개","15","13","14","15","16",
"대구광역시","전체","1000인이상","총종사자수_계[명]","명","25243","21908","27233","28821","30900",
"대구광역시","전체","1000인이상","총종사자수_남자[명]","명","13072","10857","13198","12887","14253",
"대구광역시","전체","1000인이상","총종사자수_여자[명]","명","12171","11051","14035","15934","16647",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","사업체수[개]","개","18","22","22","23","30",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","총종사자수_계[명]","명","318","414","375","337","358",
