"시도별(17개)","산업분류별","규모별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","전체","전규모","자영업자[명]","명","65103","67764","50682","51800","54737",
"대구광역시","전체","전규모","무급가족 및 기타종사자[명]","명","61527","65746","37546","41663","44919",
"대구광역시","전체","전규모","상용근로자[명]","명","494797","505104","487925","516795","524633",
"대구광역시","전체","전규모","임시 및 일용근로자[명]","명","131018","131327","96823","93797","101722",
"대구광역시","전체","1~4인","자영업자[명]","명","45380","47881","36059","37499","38638",
"대구광역시","전체","1~4인","무급가족 및 기타종사자[명]","명","13829","14627","6217","5808","5815",
"대구광역시","전체","1~4인","상용근로자[명]","명","70602","71471","68535","81804","82943",
"대구광역시","전체","1~4인","임시 및 일용근로자[명]","명","33502","37655","23001","18595","20547",
"대구광역시","전체","5~9인","자영업자[명]","명","15186","15512","11154","10852","12422",
"대구광역시","전체","5~9인","무급가족 및 기타종사자[명]","명","5985","8293","3840","3617","3938",
"대구광역시","전체","5~9인","상용근로자[명]","명","90370","94193","79745","84972","83195",
"대구광역시","전체","5~9인","임시 및 일용근로자[명]","명","29572","28730","19344","17066","18695",
"대구광역시","전체","10~29인","자영업자[명]","명","4016","3825","3038","3019","3236",
"대구광역시","전체","10~29인","무급가족 및 기타종사자[명]","명","13612","13138","7957","9079","10452",
"대구광역시","전체","10~29인","상용근로자[명]","명","122505","124627","120118","127118","130059",
"대구광역시","전체","10~29인","임시 및 일용근로자[명]","명","20789","20496","14783","14187","15878",
"대구광역시","전체","30~49인","자영업자[명]","명","278","298","194","190","211",
"대구광역시","전체","30~49인","무급가족 및 기타종사자[명]","명","10995","10901","6294","8156","9182",
"대구광역시","전체","30~49인","상용근로자[명]","명","41785","43430","41288","43366","45441",
"대구광역시","전체","30~49인","임시 및 일용근로자[명]","명","8077","7391","6356","7345","6710",
"대구광역시","전체","50~99인","자영업자[명]","명","181","167","150","155","156",
"대구광역시","전체","50~99인","무급가족 및 기타종사자[명]","명","7949","9757","6429","7900","7606",
"대구광역시","전체","50~99인","상용근로자[명]","명","56086","56945","57394","56414","56812",
"대구광역시","전체","50~99인","임시 및 일용근로자[명]","명","8767","7520","7432","7185","8154",
"대구광역시","전체","100~199인","자영업자[명]","명","56","72","73","70","60",
"대구광역시","전체","100~199인","무급가족 및 기타종사자[명]","명","5346","4248","2687","3627","3744",
"대구광역시","전체","100~199인","상용근로자[명]","명","45515","44733","42704","43325","44464",
"대구광역시","전체","100~199인","임시 및 일용근로자[명]","명","7230","7800","7181","7520","6309",
"대구광역시","전체","200~299인","자영업자[명]","명","5","8","12","12","10",
"대구광역시","전체","200~299인","무급가족 및 기타종사자[명]","명","1796","1791","1517","1226","2118",
"대구광역시","전체","200~299인","상용근로자[명]","명","18417","19648","21972","23706","24103",
"대구광역시","전체","200~299인","임시 및 일용근로자[명]","명","4436","4978","3860","3803","4031",
"대구광역시","전체","300~499인","자영업자[명]","명","1","1","2","3","4",
"대구광역시","전체","300~499인","무급가족 및 기타종사자[명]","명","628","964","1789","1067","1864",
"대구광역시","전체","300~499인","상용근로자[명]","명","16994","16581","17776","16740","17428",
"대구광역시","전체","300~499인","임시 및 일용근로자[명]","명","5515","6333","3490","4065","7057",
"대구광역시","전체","500~999인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","전체","500~999인","무급가족 및 기타종사자[명]","명","1387","2027","816","1183","200",
"대구광역시","전체","500~999인","상용근로자[명]","명","15202","18229","17727","18815","19276",
"대구광역시","전체","500~999인","임시 및 일용근로자[명]","명","5208","3763","4809","5745","4353",
"대구광역시","전체","1000인이상","자영업자[명]","명","0","0","0","0","0",
"대구광역시","전체","1000인이상","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","전체","1000인이상","상용근로자[명]","명","17321","15247","20666","20535","20912",
"대구광역시","전체","1000인이상","임시 및 일용근로자[명]","명","7922","6661","6567","8286","9988",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","자영업자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","무급가족 및 기타종사자[명]","명","0","0","0","0","3",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","상용근로자[명]","명","205","258","259","212","230",
"대구광역시","A.농업, 임업 및 어업(01~03)","전규모","임시 및 일용근로자[명]","명","113","156","116","125","125",
"대구광역시","A.농업, 임업 및 어업(01~03)","1~4인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","1~4인","무급가족 및 기타종사자[명]","명","0","0","0","0","3",
"대구광역시","A.농업, 임업 및 어업(01~03)","1~4인","상용근로자[명]","명","25","31","21","29","40",
"대구광역시","A.농업, 임업 및 어업(01~03)","1~4인","임시 및 일용근로자[명]","명","5","3","0","0","2",
"대구광역시","A.농업, 임업 및 어업(01~03)","5~9인","자영업자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","5~9인","무급가족 및 기타종사자[명]","명","0","0","0","0","0",
"대구광역시","A.농업, 임업 및 어업(01~03)","5~9인","상용근로자[명]","명","11","5","24","11","3",
"대구광역시","A.농업, 임업 및 어업(01~03)","5~9인","임시 및 일용근로자[명]","명","4","0","4","10","2",
"대구광역시","A.농업, 임업 및 어업(01~03)","10~29인","자영업자[명]","명","0","0","0","0","0",
