"산업분류별","성별","규모별",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022
"산업분류별","성별","규모별",사업체수 (개),총종사자수 (명),자영업자 (명),무급가족 및 기타종사자 (명),상용근로자 (명),임시 및 일용근로자 (명),사업체수 (개),총종사자수 (명),자영업자 (명),무급가족 및 기타종사자 (명),상용근로자 (명),임시 및 일용근로자 (명),사업체수 (개),총종사자수 (명),자영업자 (명),무급가족 및 기타종사자 (명),상용근로자 (명),임시 및 일용근로자 (명),사업체수 (개),총종사자수 (명),자영업자 (명),무급가족 및 기타종사자 (명),상용근로자 (명),임시 및 일용근로자 (명),사업체수 (개),총종사자수 (명),자영업자 (명),무급가족 및 기타종사자 (명),상용근로자 (명),임시 및 일용근로자 (명)
"전체","계","전규모",2029782,18198793,1230399,1198389,13021563,2748442,2146156,18743650,1307386,1271595,13317353,2847316,1865536,17181055,956033,789909,12954821,2480292,1995751,18182282,991059,848827,14022520,2319876,2099955,18835715,1065718,935933,14345132,2488932
"전체","계","1~4인",1228376,3328655,856420,260606,1562834,648795,1320269,3564610,917415,284872,1574382,787941,1154517,2835754,679708,129933,1517930,508183,1239760,3138284,722685,124324,1856378,434897,1325282,3342816,754379,130505,1978559,479373
"전체","계","5~9인",486131,3124324,294248,124938,2061780,643358,506397,3206943,312818,180048,2085752,628325,416672,2667093,219248,91258,1873368,483219,439598,2795359,212212,86176,2071699,425272,445037,2838790,247989,91558,2023932,475311
"전체","계","10~29인",233738,3623613,70393,258306,2825862,469052,236469,3671053,67870,254570,2887318,461295,215204,3362705,49676,161664,2770032,381333,232743,3626799,48973,194039,3020778,363009,243096,3789251,55805,208599,3116840,408007
"전체","계","30~49인",39809,1492242,5488,186347,1129487,170920,40206,1509943,5408,185654,1162699,156182,36936,1391535,3950,116640,1104376,166569,40356,1514124,3723,145047,1203155,162199,42071,1578188,4049,154322,1246033,173784
"전체","계","50~99인",25026,1698500,2930,163415,1346569,185586,25868,1761616,2893,169082,1408825,180816,25249,1725924,2399,119915,1396223,207387,26258,1793518,2329,137015,1458841,195333,26831,1824474,2403,143291,1473520,205260
"전체","계","100~199인",10383,1405732,741,102496,1142360,160135,10445,1425504,750,97433,1168077,159244,10233,1394195,814,71784,1144820,176777,10199,1393863,805,78922,1150669,163467,10699,1455002,797,89491,1193314,171400
"전체","계","200~299인",2837,683374,127,35413,552921,94913,2929,706714,156,34569,577698,94291,2983,718563,132,28381,586221,103829,3019,726707,163,29649,597553,99342,3044,734522,177,35403,601929,97013
"전체","계","300~499인",1821,687152,35,31283,550190,105644,1845,696888,59,30244,563029,103556,1928,726825,87,27867,580544,118327,1981,748545,72,27735,598337,122401,2005,757514,89,32805,604897,119723
"전체","계","500~999인",1065,733105,16,21352,597667,114070,1111,759715,16,29693,615121,114885,1126,771193,16,25826,613900,131451,1130,776934,17,17416,636974,122527,1191,823756,28,20804,668017,134907
"전체","계","1000인이상",596,1422096,1,14233,1251893,155969,617,1440664,1,5430,1274452,160781,688,1587268,3,16641,1367407,203217,707,1668149,80,8504,1428136,231429,699,1691402,2,29155,1438091,224154
"전체","남자","전규모",-,10512610,728218,502369,7864030,1417993,-,10819330,766053,528781,8020478,1504018,-,10004827,604533,328460,7740200,1331634,-,10558290,623021,364913,8319461,1250895,-,10854353,664253,385682,8486478,1317940
"전체","남자","1~4인",-,1713666,495864,114219,857497,246086,-,1840836,525159,119969,868050,327658,-,1558874,418001,59726,862404,218743,-,1719924,441308,57929,1054579,166108,-,1870111,458374,56984,1159075,195678
"전체","남자","5~9인",-,1660141,180077,58063,1131510,290491,-,1718604,190308,79020,1146628,302648,-,1407250,143974,42501,1007463,213312,-,1498462,139385,40521,1135842,182714,-,1492065,158911,41664,1095420,196070
"전체","남자","10~29인",-,2059383,45194,103568,1653025,257596,-,2089665,43636,101341,1688529,256159,-,1888426,36455,63431,1594830,193710,-,2054291,36236,83458,1740398,194199,-,2119424,40694,84668,1784521,209541
"전체","남자","30~49인",-,867009,3907,56356,709845,96901,-,876557,3798,56933,725784,90042,-,799590,3145,31672,675985,88788,-,862483,3052,45016,721434,92981,-,886234,3259,48000,739868,95107
"전체","남자","50~99인",-,1008009,2346,64538,834347,106778,-,1037071,2272,63817,862563,108419,-,1001941,2036,44252,834754,120899,-,1032691,1997,55291,860874,114529,-,1029596,2038,56068,856139,115351
"전체","남자","100~199인",-,890066,666,50426,736120,102854,-,895108,667,49096,743375,101970,-,872819,701,35644,721087,115387,-,857801,731,37430,711605,108035,-,886537,704,43031,732586,110216
"전체","남자","200~299인",-,437682,117,17510,355721,64334,-,453373,143,19089,372296,61845,-,462329,122,15381,377434,69392,-,458742,150,15441,375529,67622,-,465221,162,17229,379855,67975
"전체","남자","300~499인",-,450294,31,19920,356831,73512,-,450059,54,18212,362327,69466,-,467047,81,15486,370157,81323,-,477417,66,15709,379543,82099,-,481071,82,14860,386411,79718
"전체","남자","500~999인",-,475195,15,13004,385392,76784,-,489580,15,18452,391998,79115,-,497988,15,13642,388625,95706,-,504533,16,9587,405319,89611,-,523608,27,10119,418673,94789
"전체","남자","1000인이상",-,951165,1,4765,843742,102657,-,968477,1,2852,858928,106696,-,1048563,3,6725,907461,134374,-,1091946,80,4531,934338,152997,-,1100486,2,13059,933930,153495
"전체","여자","전규모",-,7686183,502181,696020,5157533,1330449,-,7924320,541333,742814,5296875,1343298,-,7176228,351500,461449,5214621,1148658,-,7623992,368038,483914,5703059,1068981,-,7981362,401465,550251,5858654,1170992
"전체","여자","1~4인",-,1614989,360556,146387,705337,402709,-,1723774,392256,164903,706332,460283,-,1276880,261707,70207,655526,289440,-,1418360,281377,66395,801799,268789,-,1472705,296005,73521,819484,283695
"전체","여자","5~9인",-,1464183,114171,66875,930270,352867,-,1488339,122510,101028,939124,325677,-,1259843,75274,48757,865905,269907,-,1296897,72827,45655,935857,242558,-,1346725,89078,49894,928512,279241
"전체","여자","10~29인",-,1564230,25199,154738,1172837,211456,-,1581388,24234,153229,1198789,205136,-,1474279,13221,98233,1175202,187623,-,1572508,12737,110581,1280380,168810,-,1669827,15111,123931,1332319,198466
"전체","여자","30~49인",-,625233,1581,129991,419642,74019,-,633386,1610,128721,436915,66140,-,591945,805,84968,428391,77781,-,651641,671,100031,481721,69218,-,691954,790,106322,506165,78677
"전체","여자","50~99인",-,690491,584,98877,512222,78808,-,724545,621,105265,546262,72397,-,723983,363,75663,561469,86488,-,760827,332,81724,597967,80804,-,794878,365,87223,617381,89909
"전체","여자","100~199인",-,515666,75,52070,406240,57281,-,530396,83,48337,424702,57274,-,521376,113,36140,423733,61390,-,536062,74,41492,439064,55432,-,568465,93,46460,460728,61184
"전체","여자","200~299인",-,245692,10,17903,197200,30579,-,253341,13,15480,205402,32446,-,256234,10,13000,208787,34437,-,267965,13,14208,222024,31720,-,269301,15,18174,222074,29038
"전체","여자","300~499인",-,236858,4,11363,193359,32132,-,246829,5,12032,200702,34090,-,259778,6,12381,210387,37004,-,271128,6,12026,218794,40302,-,276443,7,17945,218486,40005
"전체","여자","500~999인",-,257910,1,8348,212275,37286,-,270135,1,11241,223123,35770,-,273205,1,12184,225275,35745,-,272401,1,7829,231655,32916,-,300148,1,10685,249344,40118
"전체","여자","1000인이상",-,470931,0,9468,408151,53312,-,472187,0,2578,415524,54085,-,538705,0,9916,459946,68843,-,576203,0,3973,493798,78432,-,590916,0,16096,504161,70659
"A.농업, 임업 및 어업(01~03)","계","전규모",4071,38750,0,843,31663,6244,4330,40577,0,926,33434,6217,5014,42559,0,905,32537,9117,6072,47220,0,624,38293,8303,7025,50485,0,948,40905,8632
"A.농업, 임업 및 어업(01~03)","계","1~4인",2026,4550,0,132,3812,606,2262,4941,0,180,4203,558,2878,5853,0,318,4825,710,3384,7884,0,287,6765,832,4251,9889,0,339,8495,1055
"A.농업, 임업 및 어업(01~03)","계","5~9인",1068,7015,0,240,5724,1051,1075,7134,0,179,5954,1001,1123,7457,0,221,5847,1389,1501,9727,0,204,8021,1502,1532,10144,0,323,7947,1874
"A.농업, 임업 및 어업(01~03)","계","10~29인",716,11430,0,291,8786,2353,732,11520,0,326,9191,2003,743,11847,0,139,9281,2427,924,14326,0,92,11553,2681,977,15284,0,256,12415,2613
"A.농업, 임업 및 어업(01~03)","계","30~49인",170,6218,0,113,5405,700,155,5713,0,94,4835,784,157,5852,0,106,4676,1070,172,6317,0,38,5121,1158,173,6426,0,30,5244,1152
"A.농업, 임업 및 어업(01~03)","계","50~99인",62,4305,0,67,3668,570,78,5536,0,146,4826,564,76,5109,0,120,3734,1255,66,4568,0,0,3866,702,70,4847,0,0,3667,1180
"A.농업, 임업 및 어업(01~03)","계","100~199인",24,3102,0,0,2483,619,23,3452,0,1,2444,1007,30,3839,0,1,2502,1336,22,2828,0,3,1807,1018,19,2574,0,0,2263,311
"A.농업, 임업 및 어업(01~03)","계","200~299인",2,497,0,0,497,0,2,499,0,0,499,0,5,1097,0,0,584,513,1,269,0,0,269,0,1,202,0,0,16,186
"A.농업, 임업 및 어업(01~03)","계","300~499인",2,659,0,0,343,316,2,767,0,0,467,300,1,448,0,0,39,409,1,446,0,0,36,410,1,302,0,0,41,261
"A.농업, 임업 및 어업(01~03)","계","500~999인",1,974,0,0,945,29,0,0,0,0,0,0,-,0,0,0,0,0,1,855,0,0,855,0,1,817,0,0,817,0
"A.농업, 임업 및 어업(01~03)","계","1000인이상",0,0,0,0,0,0,1,1015,0,0,1015,0,1,1057,0,0,1049,8,0,0,0,0,0,0,0,0,0,0,0,0
"A.농업, 임업 및 어업(01~03)","남자","전규모",-,28361,0,675,24354,3332,-,30145,0,621,25672,3852,-,31556,0,582,24707,6267,-,34021,0,395,28555,5071,-,36772,0,652,30518,5602
"A.농업, 임업 및 어업(01~03)","남자","1~4인",-,3412,0,82,2973,357,-,3720,0,102,3265,353,-,4328,0,202,3718,408,-,5620,0,168,4933,519,-,7392,0,201,6546,645
"A.농업, 임업 및 어업(01~03)","남자","5~9인",-,5229,0,209,4434,586,-,5337,0,139,4674,524,-,5472,0,158,4502,812,-,6943,0,128,6022,793,-,7209,0,231,5923,1055
"A.농업, 임업 및 어업(01~03)","남자","10~29인",-,7877,0,228,6466,1183,-,8110,0,225,6759,1126,-,8498,0,86,6919,1493,-,9965,0,64,8522,1379,-,10906,0,206,9105,1595
"A.농업, 임업 및 어업(01~03)","남자","30~49인",-,4707,0,99,4226,382,-,4214,0,68,3730,416,-,4208,0,41,3566,601,-,4591,0,33,3759,799,-,4814,0,14,3952,848
"A.농업, 임업 및 어업(01~03)","남자","50~99인",-,3053,0,57,2668,328,-,4132,0,86,3592,454,-,3603,0,94,2539,970,-,3537,0,0,3015,522,-,3419,0,0,2637,782
"A.농업, 임업 및 어업(01~03)","남자","100~199인",-,2304,0,0,2038,266,-,2708,0,1,1928,779,-,3167,0,1,2075,1091,-,2056,0,2,1404,650,-,2133,0,0,1849,284
"A.농업, 임업 및 어업(01~03)","남자","200~299인",-,489,0,0,489,0,-,490,0,0,490,0,-,1027,0,0,549,478,-,263,0,0,263,0,-,141,0,0,9,132
"A.농업, 임업 및 어업(01~03)","남자","300~499인",-,540,0,0,332,208,-,652,0,0,452,200,-,440,0,0,31,409,-,438,0,0,29,409,-,293,0,0,32,261
