"성별","연령계층별",2018,2019,2020,2021,2022,2023
"계","계",3.8,3.8,4.0,3.7,2.9,2.7
"계","15 - 29세",9.5,8.9,9.0,7.8,6.4,5.9
"계","15 - 19세",9.3,8.6,8.7,8.7,6.5,5.5
"계","20 - 29세",9.5,8.9,9.0,7.7,6.4,5.9
"계","30 - 39세",3.4,3.3,3.5,3.3,2.7,2.6
"계","40 - 49세",2.5,2.3,2.5,2.4,2.0,1.9
"계","50 - 59세",2.5,2.5,2.9,2.6,1.7,1.7
"계","60세이상",3.1,3.4,3.6,3.8,2.8,2.6
"계","15 - 64세",3.9,3.8,4.0,3.6,2.9,2.7
"계","15 - 24세",10.5,10.4,10.5,8.5,7.1,5.8
"남자","계",3.9,3.9,3.9,3.6,2.7,2.6
"남자","15 - 29세",10.4,9.7,9.9,8.8,6.8,6.6
"남자","15 - 19세",10.4,10.9,10.8,9.7,6.6,6.5
"남자","20 - 29세",10.4,9.7,9.9,8.7,6.8,6.6
"남자","30 - 39세",3.4,3.3,3.2,3.0,2.5,2.5
"남자","40 - 49세",2.4,2.4,2.5,2.2,1.7,1.8
"남자","50 - 59세",2.7,2.8,2.9,2.5,1.8,1.6
"남자","60세이상",3.6,3.8,3.7,3.7,2.8,2.6
"남자","15 - 64세",4.0,4.0,4.0,3.6,2.7,2.7
"남자","15 - 24세",11.1,11.1,11.1,9.6,7.6,6.3
"여자","계",3.7,3.6,4.0,3.8,3.1,2.8
"여자","15 - 29세",8.6,8.1,8.1,6.8,6.0,5.2
"여자","15 - 19세",8.4,6.6,7.1,8.0,6.4,4.7
"여자","20 - 29세",8.6,8.2,8.1,6.7,6.0,5.2
"여자","30 - 39세",3.3,3.3,3.9,3.7,3.1,2.8
"여자","40 - 49세",2.5,2.2,2.6,2.5,2.5,2.0
"여자","50 - 59세",2.3,2.2,3.0,2.6,1.5,1.9
"여자","60세이상",2.5,2.9,3.4,3.8,2.8,2.5
"여자","15 - 64세",3.8,3.6,4.0,3.7,3.0,2.7
"여자","15 - 24세",10.2,9.9,10.1,7.8,6.7,5.3
