"연령계층별","교육정도별",2018,2019,2020,2021,2022,2023
"계","계",1073,1063,1108,1037,833,787
"계","초졸이하",58,68,74,76,58,52
"계","중졸",77,87,94,84,62,58
"계","고졸",444,440,471,423,336,299
"계","대졸이상",494,469,468,454,377,378
"계","전문대졸",158,151,167,163,128,119
"계","대학교졸이상",336,318,302,291,249,259
"15 - 29세","계",408,386,370,326,272,243
"15 - 29세","초졸이하",1,0,0,1,1,-
"15 - 29세","중졸",9,11,7,7,4,5
"15 - 29세","고졸",171,159,161,142,117,92
"15 - 29세","대졸이상",227,216,202,176,150,146
"15 - 29세","전문대졸",73,71,81,75,45,42
"15 - 29세","대학교졸이상",154,145,121,102,105,104
"15 - 19세","계",21,19,16,16,12,9
"15 - 19세","초졸이하",0,0,0,-,-,-
"15 - 19세","중졸",4,3,2,2,2,2
"15 - 19세","고졸",17,15,14,14,11,7
"15 - 19세","대졸이상",-,0,-,-,-,-
"15 - 19세","전문대졸",-,0,-,-,-,-
"15 - 19세","대학교졸이상",-,-,-,-,-,-
"20 - 29세","계",387,367,355,309,260,234
"20 - 29세","초졸이하",1,0,0,1,1,-
"20 - 29세","중졸",5,7,6,5,3,3
"20 - 29세","고졸",154,144,147,128,107,85
"20 - 29세","대졸이상",227,216,202,176,150,146
"20 - 29세","전문대졸",73,71,81,75,45,42
"20 - 29세","대학교졸이상",154,145,121,102,105,104
"30 - 39세","계",195,190,195,177,149,143
"30 - 39세","초졸이하",0,1,0,0,0,1
"30 - 39세","중졸",7,5,5,4,2,3
"30 - 39세","고졸",64,62,67,50,47,39
"30 - 39세","대졸이상",125,122,122,123,100,101
"30 - 39세","전문대졸",40,40,41,41,37,36
"30 - 39세","대학교졸이상",84,82,82,82,63,65
"40 - 49세","계",168,153,164,152,129,121
"40 - 49세","초졸이하",2,2,1,1,0,0
"40 - 49세","중졸",7,11,10,6,5,4
"40 - 49세","고졸",85,76,79,77,57,56
"40 - 49세","대졸이상",74,64,74,69,67,62
"40 - 49세","전문대졸",26,23,29,26,28,22
"40 - 49세","대학교졸이상",48,41,44,43,39,40
"50 - 59세","계",164,169,191,170,113,116
"50 - 59세","초졸이하",9,12,13,10,5,4
"50 - 59세","중졸",23,22,28,23,15,9
"50 - 59세","고졸",83,91,102,83,59,60
"50 - 59세","대졸이상",48,44,49,55,35,43
"50 - 59세","전문대졸",13,11,10,15,12,13
"50 - 59세","대학교졸이상",35,32,39,39,23,30
"60세이상","계",139,167,188,212,169,164
"60세이상","초졸이하",46,53,60,65,53,47
"60세이상","중졸",31,39,45,45,37,37
"60세이상","고졸",42,51,63,70,56,53
"60세이상","대졸이상",21,23,21,32,24,27
"60세이상","전문대졸",5,6,6,7,6,7
"60세이상","대학교졸이상",16,17,15,25,18,20
"15 - 24세","계",176,171,158,129,109,83
"15 - 24세","초졸이하",0,0,0,1,1,-
"15 - 24세","중졸",7,6,5,4,3,4
"15 - 24세","고졸",102,98,99,80,68,50
"15 - 24세","대졸이상",67,67,54,45,38,29
"15 - 24세","전문대졸",34,35,26,27,16,13
"15 - 24세","대학교졸이상",33,33,27,18,23,16
