"Health spending"
"Total, US dollars/capita, 2022"
"Category","Health spending"
"United States",12555.264
"Switzerland",8049.11
"Germany",8010.935
"Norway",7771.165
"Austria",7275.354
"Netherlands",6729.134
"France",6629.556
"Belgium",6599.981
"Sweden",6437.692
"Luxembourg",6436.062
"Australia",6372.027
"Canada",6319.038
"Denmark",6279.807
"New Zealand",6060.93
"Ireland",6046.548
"Finland",5598.892
"United Kingdom",5492.642
"Iceland",5314.11
"Japan",5250.603
"Korea",4569.508
"Czechia",4512.162
"Spain",4431.858
"Italy",4290.689
"Portugal",4162.088
"Slovenia",4113.818
"Lithuania",3587.327
"Latvia",3445.296
"Israel",3444.392
"Estonia",3102.516
"Greece",3015.251
"Poland",2972.962
"Hungary",2840.101
"Slovak Rep.",2755.944
"Chile",2699.394
"Türkiye",1827.482
"Mexico",1181.041
