id,mbti_personality
160881623,infp
28968838,infp
2325006565,infp
907848145,infp
1330237585,infp
97687049,infp
1291770157,infp
135504848,infp
63170384,infp
33811202,infp
29626898,infp
236506960,infp
95639457,infp
940044704,infp
334285760,infp
853568118,infp
2313138684,infp
90556968,infp
21720804,infp
140266454,infp
110740728,infp
89903824,infp
26253762,infp
29007608,infp
47602899,infp
20928960,infp
2957187500,infp
30991562,infp
2324543169,infp
814112994,infp
809208018,infp
103150164,infp
223644853,infp
21724047,infp
1556539693,infp
531444334,infp
333955253,infp
2680369410,infp
498602237,infp
704814349,infp
75019582,infp
171179615,infp
160948893,infp
130979390,infp
48685792,infp
356725965,infp
22748523,infp
38818613,infp
189387914,infp
265442860,infp
18945736,infp
195956095,infp
790546418,infp
356893735,infp
406488512,infp
254939433,infp
253683819,infp
15273552,infp
758231224515190784,infp
18817351,infp
1009227616887267328,infp
84967432,infp
760765609,infp
16196071,infp
179287169,infp
365208486,infp
482946056,infp
165209633,infp
1022293846162632705,infp
2240994156,infp
26585614,infp
70348670,infp
391969993,infp
150566587,infp
2194645105,infp
249840657,infp
76192451,infp
213191740,infp
845082578000404480,infp
14095664,infp
707621994,infp
16131149,infp
57231539,infp
56647626,infp
52273584,infp
133172336,infp
17259137,infp
24714215,infp
198475046,infp
243446713,infp
28083611,infp
1914297008,infp
15199524,infp
42304600,infp
861717985,infp
70615359,infp
892423635096526849,infp
273935170,infp
332622743,infp
195332048,infp
15310950,infp
24590995,infp
26730259,infp
494477815,infp
172526417,infp
93854196,infp
18392064,infp
3033624322,infp
57194960,infp
102827137,infp
345833071,infp
198740642,infp
1387835150,infp
48109717,infp
38539731,infp
16263718,infp
819795463,infp
122694018,infp
1933249722,infp
618118380,infp
3310224224,infp
24906534,infp
44867192,infp
747767486821576704,infp
384580631,infp
14862187,infp
251994994,infp
190122990,infp
869332660610617344,infp
194143646,infp
61928745,infp
56907620,infp
9259432,infp
2485626030,infp
6487812,infp
1561290230,infp
411572570,infp
17653562,infp
865257739773243392,infp
198330867,infp
7940222,infp
415859395,infp
49345031,infp
16561107,infp
16919540,infp
39819267,infp
50212013,infp
600189796,infp
2894485821,infp
3642321,infp
88273302,infp
210222003,infp
95150233,infp
59432201,infp
1435720248,infp
1078266074,infp
3273807085,infp
392009371,infp
228731633,infp
85105960,infp
2314444022,infp
14840355,infp
58441423,infp
17078094,infp
2468631822,infp
33735940,infp
145564076,infp
3325931739,infp
102849199,infp
2150274813,infp
60333673,infp
883463225148194817,infp
40217307,infp
17626223,infp
2228594305,infp
36984225,infp
3110323346,infp
255935713,infp
523802018,infp
111855780,infp
131885614,infp
736374267152105472,infp
222621145,infp
93794505,infp
870206017195225089,infp
883887872,infp
254704573,infp
39408088,infp
727261956,infp
2723893058,infp
62925601,infp
45634315,infp
364603783,infp
19903161,infp
2466268460,infp
18230930,infp
61724441,infp
62506519,infp
543031523,infp
29589033,infp
1082086676518891521,infp
966391198171635712,infp
2357842415,infp
15796866,infp
