customer_id,month,total_month_price,rank
non_member,1,212749604,SVip
non_member,2,133653198,SVip
non_member,3,213489358,SVip
non_member,4,119902591,SVip
non_member,5,160713672,SVip
non_member,6,175675678,SVip
non_member,7,208209908,SVip
non_member,8,198905514,SVip
non_member,9,184842242,SVip
non_member,10,202105997,SVip
non_member,11,607711725,SVip
non_member,12,210808607,SVip
12346,1,134916932,SVip
12347,1,830981,Platinum
12347,4,1112165,Vip
12347,6,668644,Platinum
12347,8,1022422,Vip
12347,10,2262471,Vip
12347,12,392985,Gold
12348,1,397565,Gold
12348,4,641516,Platinum
12348,9,541880,Gold
12349,11,3072197,SVip
12350,2,584531,Gold
12352,2,518281,Gold
12352,3,2211761,Vip
12352,9,1105610,Vip
12352,11,544904,Gold
12353,5,155572,Silver
12354,4,1886791,Vip
12355,5,803031,Platinum
12356,1,3970791,SVip
12356,4,841592,Platinum
12356,11,101995,Silver
12357,11,10851007,SVip
12358,7,847535,Platinum
12358,12,1194233,Vip
12359,1,957030,Platinum
12359,2,3214414,SVip
12359,6,1939091,Vip
12359,10,4919396,SVip
12360,5,1894097,Vip
12360,8,934655,Platinum
12360,10,1824527,Vip
12361,2,331945,Gold
12362,2,837466,Platinum
12362,4,865679,Platinum
12362,7,530972,Gold
12362,8,820249,Platinum
12362,9,1450822,Vip
12362,10,2870058,Vip
12362,11,835439,Platinum
12362,12,924761,Platinum
12363,4,522826,Gold
12363,8,442069,Gold
12364,8,1090612,Vip
12364,9,139490,Silver
12364,10,522756,Gold
12364,12,542439,Gold
12365,2,1121132,Vip
12367,12,295237,Silver
12370,3,1640305,Vip
12370,10,1292261,Vip
12371,10,3300154,SVip
12372,2,697836,Platinum
12372,5,901443,Platinum
12372,9,669693,Platinum
12373,2,637320,Platinum
12374,11,1298641,Vip
12375,9,402564,Gold
12375,11,397145,Gold
12377,1,1095296,Vip
12378,8,7007067,SVip
12379,6,803800,Platinum
12379,9,685915,Platinum
12380,6,1061997,Vip
12380,9,1094265,Vip
12380,10,788103,Platinum
12380,11,1818601,Vip
12381,8,2217757,Vip
12381,10,18354,Silver
12381,11,732516,Platinum
12381,12,256973,Silver
12383,1,1138227,Vip
12383,3,624158,Platinum
12383,4,248495,Silver
12383,6,173838,Silver
12384,8,511622,Gold
12384,11,511429,Gold
12386,1,249964,Silver
