"행정구역별(시군구)","성별","연령별","항목","단위","2018 년","2019 년","2020 년","2021 년","2022 년",
"대구광역시","계","합계","일반가구원","","2351053","2332499","2321163","2301255","2279121",
"대구광역시","계","합계","가구주","","957516","968620","985816","1000931","1010834",
"대구광역시","계","합계","가구주의 배우자","","518918","515538","512702","506176","501707",
"대구광역시","계","합계","자녀","","721122","697083","680499","652460","627792",
"대구광역시","계","합계","자녀의 배우자","","8737","8039","6469","5743","5468",
"대구광역시","계","합계","가구주의 부모","","55564","54640","52191","51922","50371",
"대구광역시","계","합계","배우자의 부모","","9454","9072","7947","7413","7090",
"대구광역시","계","합계","손자녀, 그 배우자","","","","20207","18622","17691",
"대구광역시","계","합계","친손자녀·그 배우자","","16173","14894","","","",
"대구광역시","계","합계","외손자녀·그 배우자","","7773","7767","","","",
"대구광역시","계","합계","증손자녀·그 배우자","","78","85","75","73","55",
"대구광역시","계","합계","조부모","","1974","1860","1902","2070","1984",
"대구광역시","계","합계","형제자매·그 배우자","","31670","31028","29742","29627","29086",
"대구광역시","계","합계","형제자매의 자녀·그 배우자","","6340","6320","5920","6077","5943",
"대구광역시","계","합계","부모의 형제자매·그 배우자","","971","1016","943","1102","1145",
"대구광역시","계","합계","기타 친·인척","","2037","2171","1975","2068","2014",
"대구광역시","계","합계","기타 동거인","","12726","14366","14775","16971","17941",
"대구광역시","계","15세미만","일반가구원","","299899","289897","280685","270922","260731",
"대구광역시","계","15세미만","가구주","","X","5","X","6","X",
"대구광역시","계","15세미만","가구주의 배우자","","X","X","X","X","X",
"대구광역시","계","15세미만","자녀","","284016","274857","267642","258979","249466",
"대구광역시","계","15세미만","자녀의 배우자","","X","X","X","X","X",
"대구광역시","계","15세미만","가구주의 부모","","X","X","X","X","X",
"대구광역시","계","15세미만","배우자의 부모","","X","X","X","X","X",
"대구광역시","계","15세미만","손자녀, 그 배우자","","","","11133","10091","9510",
"대구광역시","계","15세미만","친손자녀·그 배우자","","8597","7822","","","",
"대구광역시","계","15세미만","외손자녀·그 배우자","","5045","5028","","","",
"대구광역시","계","15세미만","증손자녀·그 배우자","","72","79","71","68","52",
"대구광역시","계","15세미만","조부모","","X","X","X","X","X",
"대구광역시","계","15세미만","형제자매·그 배우자","","176","186","183","160","157",
"대구광역시","계","15세미만","형제자매의 자녀·그 배우자","","1491","1423","1238","1167","1103",
"대구광역시","계","15세미만","부모의 형제자매·그 배우자","","X","X","X","X","X",
"대구광역시","계","15세미만","기타 친·인척","","255","258","214","225","254",
"대구광역시","계","15세미만","기타 동거인","","244","239","200","226","187",
"대구광역시","계","15~19세","일반가구원","","125134","116524","109963","102309","98786",
"대구광역시","계","15~19세","가구주","","2878","3877","2909","2160","2609",
"대구광역시","계","15~19세","가구주의 배우자","","33","34","26","7","9",
"대구광역시","계","15~19세","자녀","","115934","107005","102063","95845","92076",
"대구광역시","계","15~19세","자녀의 배우자","","11","17","9","X","X",
"대구광역시","계","15~19세","가구주의 부모","","X","X","X","X","X",
"대구광역시","계","15~19세","배우자의 부모","","X","X","X","X","X",
"대구광역시","계","15~19세","손자녀, 그 배우자","","","","3152","2790","2635",
"대구광역시","계","15~19세","친손자녀·그 배우자","","2982","2549","","","",
"대구광역시","계","15~19세","외손자녀·그 배우자","","1153","1060","","","",
"대구광역시","계","15~19세","증손자녀·그 배우자","","5","X","X","X","X",
"대구광역시","계","15~19세","조부모","","X","X","X","X","X",
"대구광역시","계","15~19세","형제자매·그 배우자","","1191","1111","1054","867","807",
"대구광역시","계","15~19세","형제자매의 자녀·그 배우자","","688","627","554","475","439",
"대구광역시","계","15~19세","부모의 형제자매·그 배우자","","X","X","X","X","X",
"대구광역시","계","15~19세","기타 친·인척","","86","80","55","55","61",
"대구광역시","계","15~19세","기타 동거인","","173","160","139","105","147",
"대구광역시","계","20~24세","일반가구원","","141936","138834","139990","133792","121156",
"대구광역시","계","20~24세","가구주","","21989","24568","25373","25702","25595",
"대구광역시","계","20~24세","가구주의 배우자","","1078","1007","922","721","571",
"대구광역시","계","20~24세","자녀","","110053","104695","105326","99321","87879",
"대구광역시","계","20~24세","자녀의 배우자","","241","208","155","102","81",
"대구광역시","계","20~24세","가구주의 부모","","X","X","X","X","X",
"대구광역시","계","20~24세","배우자의 부모","","X","X","X","X","X",
"대구광역시","계","20~24세","손자녀, 그 배우자","","","","3072","2821","2515",
"대구광역시","계","20~24세","친손자녀·그 배우자","","2429","2381","","","",
"대구광역시","계","20~24세","외손자녀·그 배우자","","797","826","","","",
"대구광역시","계","20~24세","증손자녀·그 배우자","","X","X","X","X","X",
"대구광역시","계","20~24세","조부모","","X","X","X","X","X",
