"성별","연령계층별",2018,2019,2020,2021,2022,2023
"계","계",1073,1063,1108,1037,833,787
"계","15 - 29세",408,386,370,326,272,243
"계","15 - 19세",21,19,16,16,12,9
"계","20 - 29세",387,367,355,309,260,234
"계","30 - 39세",195,190,195,177,149,143
"계","40 - 49세",168,153,164,152,129,121
"계","50 - 59세",164,169,191,170,113,116
"계","60세이상",139,167,188,212,169,164
"계","15 - 64세",1003,979,1003,918,732,689
"계","15 - 24세",176,171,158,129,109,83
"남자","계",630,627,624,576,447,434
"남자","15 - 29세",216,207,200,177,139,131
"남자","15 - 19세",11,11,9,8,5,5
"남자","20 - 29세",206,196,192,169,134,127
"남자","30 - 39세",122,115,109,98,80,80
"남자","40 - 49세",98,92,96,86,64,69
"남자","50 - 59세",102,107,108,96,69,61
"남자","60세이상",92,106,110,119,96,93
"남자","15 - 64세",589,583,570,516,398,383
"남자","15 - 24세",74,77,69,59,48,38
"여자","계",443,437,484,461,385,353
"여자","15 - 29세",192,179,170,149,134,112
"여자","15 - 19세",10,8,7,9,7,5
"여자","20 - 29세",181,172,163,140,126,107
"여자","30 - 39세",74,75,85,78,68,64
"여자","40 - 49세",70,60,68,67,65,52
"여자","50 - 59세",62,62,83,74,45,55
"여자","60세이상",47,61,78,93,74,71
"여자","15 - 64세",415,396,433,402,335,306
"여자","15 - 24세",102,94,88,70,61,46
